Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
114	Tangela	G	1			1	Ken Sugimori			5/12/2019
123	Scyther	G	1	Reverse		3	Kouki Saitou			7/5/2019
153	Bayleef	G	2			7	Kagemaru Himeno			7/5/2019
167	Spinarak	G	1			9	Misa Tsutsui			7/26/2019
187	Hoppip	G	1			12	kawayoo			
213	Shuckle	G	2			16	Masakazu Fukuda			
214	Heracross	G	2			18	Ken Sugimori			
253	Grovyle	G	2			21	Ayaka Yoshida			7/5/2019
265	Wurmple	G	1			23	kirisAki			7/26/2019
269	Dustox	G	3			28	Midori Harada			5/12/2019
290	Nincada	G	1			29	SATOSHI NAKAI			7/5/2019
415	Combee	G	1			31	Akira Komyama			7/5/2019
672	Skiddo	G	1			35	Ken Sugimori			
673	Gogoat	G	2			36	sowsow			
155	Cyndaquil	F	1			39	Mina Nakai			10/12/2019
155	Cyndaquil	F	1			40	kirisAki			7/5/2019
218	Slugma	F	1			43	SATOSHI NAKAI			
228	Houndour	F	1			45	Ken Sugimori			
229	Houndoom	F	3			46	Sekio			
244	Entei	F	3	Art		47	kawayoo			
37	Vulpix	W	1		Alolan	53	Naoyo Kimura			5/12/2019
79	Slowpoke	W	1			54	Tomokazu Komiya			7/26/2019
613	Cubchoo	W	1			61	0313			7/26/2019
646	White Kyurem	W	3	Art		63	Hitoshi Ariga			10/12/2019
728	Popplio	W	1			65	Yusuke Ohmura			7/29/2019
747	Mareanie	W	1			68	Aya Kusube			7/5/2019
779	Bruxish	W	1			70	tetsuya koizumi			10/12/2019
125	Electabuzz	El	2	Reverse		71	Naoyo Kimura			7/26/2019
170	Chinchou	El	1			73	Akira Komayama			7/5/2019
179	Mareep	El	1			75	Midori Harada			7/5/2019
179	Mareep	El	1			76	0313			7/26/2019
522	Blitzle	El	1			81	Miki Tanaka			7/26/2019
618	Stunfisk	El	1			83	Ken Sugimori			8/30/2019
702	Dedenne	El	1			84	MAHOU			10/12/2019
178	Xatu	P	2			88	Ken Sugimori			5/12/2019
196	Espeon	P	3	Art		89	Ryota Murayama			8/25/2019
201	Unown	P	3			92	Naoki Saito			7/26/2019
202	Wobbuffet	P	3	Reverse		93	Megumi Mitzutani			
292	Shedinja	P	3			95	kawayoo			7/5/2019
302	Sableye	P	2			96	Miki Tanaka			5/12/2019
487	Giratina	P	3	Reverse		97	Hasuno			8/30/2019
562	Yamask	P	1			99	Ken Sugimori			
607	Litwick	P	1			101	Asako Ito			8/30/2019
608	Lampent	P	2			102	Anesaki Dynamic			7/26/2019
747	Mareanie	P	1			105	Sanosuke Sakuma			8/30/2019
803	Poipole	P	1			107	Hitoshi Ariga			5/12/2019
95	Onix	Fg	1			109	Tomokazu Komiya			8/18/2019
246	Larvitar	Fg	1			114	Misa Tsutsui			5/12/2019
246	Larvitar	Fg	1			115	SATOSHI NAKAI			8/30/2019
52	Meowth	D	1		Alolan	118	Akira Komayama			7/26/2019
197	Umbreon	D	3	Art		120	Ryota Murayama			8/25/2019
51	Dugtrio	Sl	2		Alolan	123	Yuka Morii			7/26/2019
212	Scizor	Sl	3	Art		126	Anesaki Dynamic			8/30/2019
39	Jigglypuff	Fa	1	Reverse		133	Ken Sugimori			7/5/2019
40	Wigglytuff	Fa	3			134	nogimiso			
209	Snubbull	Fa	1			137	Akira Komayama			
280	Ralts	Fa	1			139	Yuka Morii			
702	Dedenne	Fa	2			142	Megumi Mizutani			7/5/2019
742	Cutiefly	Fa	1			145	Midori Harada			7/5/2019
743	Ribombee	Fa	3	Reverse		146	Hasuno			7/26/2019
788	Tapu Fini	Fa	3	Reverse		151	Kagemaru Himeno			10/12/2019
113	Chansey	N	1			152	MAHOU			
242	Blissey	N	3	Reverse		153	MAHOU			5/12/2019
235	Smeargle	N	3			157	Ken Sugimori			
250	Ho-oh	N	3			160	Aya Kusube			7/26/2019
352	Kecleon	N	2			162	OOYAMA			7/29/2019
731	Pikipek	N	1			163	Miki Tanaka			
731	Pikipek	N	1			164	Suwama Chiaki			10/12/2019
T	Adventure Bag	I	2			167	Yoshinobu Saito			7/5/2019
T	Custom Catcher	I	2			171	Toyste Beach			7/5/2019
T	Electropower	I	2			172	Eske Yoshinob			5/12/2019
T	Fairy Charm	I	2			175	Toyste Beach			
T	Fairy Charm	I	2			177	Toyste Beach			7/5/2019
T	Kahili	Su	2			179	Ken Sugimori			
T	Lost Blender	I	2	Reverse	Pokemon League	181	5ban Graphics			6/13/2021
T	Lusamine	Su	3	Full	Prism Star	182	nogimiso			7/26/2019
T	Mina	Su	2			183	Ken Sugimori			7/26/2019
T	Mixed Herbs	I	2			184	Toyste Beach			
T	Net Ball	I	2			187	Ryo Ueda			7/26/2019
T	Professor Elm's Lecture	Su	2			188	Hideki Ishikawa			7/26/2019
T	Sightseer	Su	2			189	Naoki Saito			
778	Mimikyu GX	Fa	5	Full	Full Art / Textured	206	5ban Graphics			7/5/2019
