Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
1	Bulbasaur	G	0			1	Mizue			3/21/2021
152	Chikorita	G	0			2	sowsow			3/21/2021
252	Treeko	G	0	Holo		3	Akira Komayama			7/16/2021
387	Turtwig	G	0			4	OOYAMA			3/21/2021
495	Snivy	G	0	Holo		5	Ken Sugimori			3/21/2021
650	Chespin	G	0	Holo		6	5ban Graphics			3/21/2021
722	Rowlet	G	0	Holo		7	Megumi Mizutani			3/3/2021
810	Grookey	G	0	Holo		8	kirisAki			3/21/2021
4	Charmander	F	0	Holo		9	Kagemaru Himeno			3/21/2021
155	Cyndaquil	F	0			10	kirisAki			7/16/2021
255	Torchic	F	0			11	sui			3/21/2021
390	Chimchar	F	0	Holo		12	Kouki Saitou			3/21/2021
498	Tepig	F	0	Holo		13	Ken Sugimori			3/21/2021
653	Fennekin	F	0	Holo		14	5ban Graphics			3/21/2021
725	Litten	F	0			15	Akira Komayama			3/21/2021
813	Scorbunny	F	0			16	Hitoshi Ariga			3/21/2021
7	Squirtle	W	0			17	tetsuya koizumi			3/3/2021
158	Totodile	W	0			18	Kagemaru Himeno			3/3/2021
258	Mudkip	W	0	Holo		19	Aya Kusube			3/21/2021
393	Piplup	W	0			20	Shibuzoh.			3/21/2021
501	Oshawott	W	0	Holo		21	Ken Sugimori			3/21/2021
656	Froakie	W	0			22	5ban Graphics			3/3/2021
728	Popplio	W	0	Holo		23	Kouki Saitou			7/16/2021
816	Sobble	W	0	Holo		24	Mizue			3/21/2021
25	Pikachu	El	0	Holo		25	Sanosuke Sakuma			7/16/2021
