Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
358	Chimecho	P	3			22	Daisuke Ito			
169	Crobat	P	3			23	Masakazu Fukuda	Busted Edges		
409	Ramparados	Fg	3	Reverse		33	Kazuyuki Kano			
201	Unown I	P	3			37	Daisuke Ito			
85	Dodrio	N	2			46	Masakazu Fukuda	Used		8/20/2019
206	Dunsparce	N	2			47	Midori Harada			7/20/2019
440	Happiny	N	2			52	Yuka Morii			
63	Abra	P	1			69	Ken Sugimori	Used		8/20/2019
304	Aron	Sl	1	Reverse		71	Yuka Morii			
339	Barboach	W	1			72	Ken Sugimori	Used		8/20/2019
436	Bronzor	Sl	1			74	Ken Sugimori	Used		8/20/2019
418	Buizel	W	1			75	Kenkichi Toyama	Used		8/20/2019
113	Chansey	N	1			76	Atsuko Nishida	Used		8/20/2019
84	Doduo	N	1			80	Ken Sugimori	Used		8/20/2019
309	Electrike	El	1			81	Kouki Saitou			
102	Exeggcute	G	1			82	Ken Sugimori	Used		8/20/2019
240	Magby	F	1			88	Midori Harada	Used		8/20/2019
198	Murkrow	D	1			90	Atsuko Nishida	Used		8/20/2019
223	Remoraid	W	1			95	Sumiyoshi Kizuki			
27	Sandshrew	Fg	1			96	Ken Sugimori			
403	Shinx	El	1			98	Lee HyunJung	Used		8/20/2019
361	Snorunt	W	1			100	Kagemaru Himeno	Used		8/20/2019
363	Spheal	W	1			102	Sumiyoshi Kizuki	Used		8/20/2019
167	Spinarak	G	1			103	Kagemaru Himeno	Used		8/20/2019
216	Teddiursa	N	1			105	Yuka Morii	Used		8/20/2019
T	Bebe's Search	Su	2			109	Ken Sugimori			
T	Dusk Ball	T	2			110	Ryo Ueda			
T	Quick Ball	T	2			114	Ryo Ueda			
