Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
273	Seedot	G	1			2	Kagemaru Himeno			
401	Kricketot	G	1			3	MAHOU			
58	Growlithe	F	1			11	Mizue			
554	Darumaka	F	1			17	Atsuko Nishida			
120	Staryu	W	1			23	Naoyo Kimura			
131	Lapras	W	3			25	Kouki Saitou			
515	Panpour	W	1			28	Reiko Tanoue			
550	Basculin	W	2			30	Kagemaru Himeno			
584	Vanilluxe	W	3	Reverse		33	Akira Komayama			
613	Cubchoo	W	1			36	Atsuko Nishida			
25	Pikachu	El	1			39	Akira Komayama			
403	Shinx	El	1			42	Atsuko Nishida			
403	Shinx	El	1			43	Naoki Saito			
404	Luxio	El	2			44	Kouki Saitou			
404	Luxio	El	2	Reverse		45	Naoki Saito			
88	Grimer	P	1	Reverse		52	Kagemaru Himeno			
150	Mewtwo	P	3		Full Art / World Championships 2012	54	Shizurow	Used		8/20/2019
518	Musharna	P	3			59	Maiko Fujiwara			
447	Riolu	Fg	1			63	Sumiyoshi Kizuki			
450	Hippowdon	Fg	2			66	Naoki Saito			
215	Sneasel	D	1			69	Masakazu Fukuda			
275	Shiftry	D	3			72	match			
559	Scraggy	D	1			73	Mizue			
436	Bronzor	Sl	1			75	Naoki Saito			
597	Ferroseed	Sl	1	Reverse		77	match			
519	Pidove	N	1	Reverse		83	MAHOU			
T	Cilan	Su	2			86	Yusuke Ohmura			
T	Exp. Share	I	2			87	Ryo Ueda			
T	Pokemon Center	S	2	Reverse		90	5ban Graphics			
T	Skyarrow Bridge	S	2			91	Ryo Ueda			
