Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
540	Sewaddle	G	1			1	Mizue			
541	Swadloon	G	2			2	Midori Harada			
542	Leavanny	G	3			3	5ban Graphics			
548	Petilil	G	1			4	Shigenori Negishi			
549	Lilligant	G	3			5	Akira Komayama			
557	Dwebble	G	1			6	MAHOU			
588	Karrablast	G	1			8	sui			
616	Shelmet	G	1	Reverse		11	Midori Harada			
513	Pansear	F	1			16	Shin Nagasawa			
514	Simisear	F	2			17	Shin Nagasawa			
636	Larvesta	F	1			19	Kagemaru Himeno			
636	Larvesta	F	1			20	Naoki Saito			
535	Tympole	W	1			22	Atsuko Nishida			
582	Vanilite	W	1			22	Atsuko Nishida			
593	Jellicent	W	3	Reverse		31	Kagemaru Himeno			
522	Blitzle	El	1			35	Shin Nagasawa			
523	Zebstrika	El	3			36	match			
587	Emolga	El	2			37	Naoki Saito			
602	Tynamo	El	1			38	sui			
602	Tynamo	El	1			39	Naoki Saito			
603	Eelektrik	El	2			40	MAHOU			
618	Stunfisk	El	1			42	Shin Nagasawa			
562	Yamask	P	1			45	Shin Nagasawa			
577	Solosis	P	1			50	Atsuko Nishida			
578	Duosion	P	2			51	sui			
579	Reuniclus	P	3			52	Kagemaru Himeno			
605	Elgyem	P	1			55	Naoki Saito			
533	Gurdurr	Fg	2	Reverse		63	Sumiyoshi Kizuki			
619	Mienfoo	Fg	1			69	match			
622	Golett	Fg	1	Reverse		71	Masakazu Fukuda			
624	Pawniard	D	1			75	Mitsuhiro Arita			
625	Bisharp	D	2			76	Kouki Saito			
589	Escavalier	Sl	3	Art		80	Kouki Saito			
624	Pawniard	Sl	1			81	Tomokazu Komiya			
632	Durant	Sl	2			83	Masakozu Fukuda			
531	Audino	N	2			85	Naoki Saito			
610	Axew	N	1			86	Atsuko Nishida			
611	Fraxure	N	2			87	Kagemaru Himeno			
621	Druddigon	N	3			89	Masakazu Fukuda			
T	Cover Fossil	I	2			90	Ryo Ueda			
T	N	Su	2			92	Ken Sugimori			
T	Plume Fossil	I	2			93	Ryo Ueda			
T	Super Rod	I	2			95	5ban Graphics			
T	Xtransceiver	I	2			96	Ryo Ueda			
