Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
32,Nidoran M,G,1,,Japanese / Original Back,32,,Ken Sugimori,,,
206,Dunsparce,N,1,,Japanese / Original Back,206,,Yukiko Baba,Bent / Scratched,,8/20/2019
190,Aipom,N,2,,Japanese / Original Back,190,,Hironobu Yoshida,Bent / Dirty,,8/20/2019
688,Binacle,W,1,,Japanese,020/078,,Tomokazu Komiya,,,
10,Caterpie,G,1,Reverse,Italian,1/147,italianburningshadows,Sekio,,,6/2/2019
114,Tangela,G,1,,Italian,7/147,italianburningshadows,Shibuzoh.,,,6/2/2019
751,Dewpider,G,1,,Italian,14/147,italianburningshadows,Kouki Saitou,Bent,,6/2/2019
336,Seviper,P,2,,Italian,50/147,italianburningshadows,Eri Yamaki,,,6/2/2019
111,Rhyhorn,Fg,1,,Italian,65/147,italianburningshadows,miki kudo,,,6/2/2019
447,Riolu,Fg,1,,Italian,70/147,italianburningshadows,Saya Tsuruta,,,6/2/2019
742,Cutiefly,Fa,1,,Italian,95/147,italianburningshadows,Atsuko Nishida,,,6/2/2019
743,Ribombee,Fa,2,,Italian,96/147,italianburningshadows,Megumi Mizutani,,,6/2/2019
T,Chrys,Su,2,,Italian,123/147,italianburningshadows,Ken Sugimori,,,6/2/2019
830,Eldegoss,G,,,Japanese,015/190,,Mina Nakai,,,1/11/2021
847,Barraskewda,W,,,Japanese,046/190,,Kouki Saitou,,,1/11/2021
