Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
48,Venonant,G,1,,,1/119,,Sumiyoshi Kizuki,,,,94134
49,Venomoth,G,3,,,2/119,,5ban Graphics,,,,94135
193,Yanma,G,1,,,3/119,,Shin Nagasawa,,,,94136
469,Yanmega,G,3,,,4/119,,Mitsuhiro Arita,,,,94137
540,Sewaddle,G,1,,,5/119,,kawayoo,,,,94138
541,Swadloon,G,2,,,6/119,,Tomokazu Komiya,,,,94139
588,Karrablast,G,1,,,8/119,,Sanosuke Sakuma,,,,94141
662,Fletchinder,F,2,,,9/119,,Suwama Chiaki,,,,94142
663,Talonflame,F,3,,,10/119,,Mitsuhiro Arita,,,,94143
667,Litleo,F,1,,,11/119,,Atsuko Nishida,,,,94144
158,Totodile,W,1,,,15/119,,Kagemaru Himeno,,,,94148
159,Croconaw,W,2,,,16/119,,Sumiyashi Kizuki,,,,94149
456,Finneon,W,1,,,18/119,,Shinegori Negishi,,,,94151
457,Lumineon,W,2,,,19/119,,sui,,,,94152
594,Alomomola,W,1,,,22/119,,Kouki Saitou,,,,94155
595,Joltik,El,1,,,26/119,,TOKIYA,,,,94159
695,Heliolisk,El,3,Art,,30/119,,Kouki Saitou,,,,94163
695,Heliolisk,El,3,Reverse,,30/119,,Kouki Saitou,,,,94163
41,Zubat,P,1,,,31/119,,match,,,,94164
169,Crobat,P,3,Art,,33/119,,Satoshi Shirai,,,,94166
202,Wobbuffet,P,2,,,36/119,,sui,,,,94169
316,Gulpin,P,1,,,37/119,,Hajima Kusajima,,,,94235
317,Swalot,P,3,,,38/119,,Tomokazu Komiya,,,,94236
518,Musharna,P,3,Reverse,,40/119,,Suwama Chiaki,,,,94238
710,Pumpkaboo,P,1,,,44/119,,HiRON,,,,94502
472,Gliscor,Fg,3,,,47/119,,Naoyo Kimura,,,,94505
524,Roggenrola,Fg,1,,,48/119,,5ban Graphics,,,,94506
525,Boldore,Fg,2,,,49/119,,Midori Harada,,,,94507
198,Murkrow,D,1,,,51/119,,Kagemaru Himeno,,,,94509
430,Honchkrow,D,3,,,52/119,,Hajime Kusajima,,,,94510
261,Poochyena,D,1,,,53/119,,5ban Graphics,,,,94511
262,Mightyena,D,3,,,54/119,,Sanosuke Sakuma,,,,94512
442,Spiritomb,D,3,Reverse,,55/119,,PLANETA,,,,94513
509,Purrloin,D,1,,,56/119,,Kouki Saitou,,,,94514
227,Skarmory,Sl,1,,,59/119,,Sanosuke Sakuma,,,,94627
436,Bronzor,Sl,1,,,60/119,,Akira Komayama,,,,94628
437,Bronzong,Sl,3,,,61/119,,match,,,,94629
589,Escavalier,Sl,3,Reverse,,64/119,,Mitsuhiro Arita,,,,94633
707,Klefki,Sl,2,,,66/119,,Shin Nagasawa,,,,94634
684,Swirlix,Fa,1,,,68/119,,Satashi Shirai,,,,94636
702,Dedenne,Fa,1,,,70/119,,5ban Graphics,,,,94638
633,Deino,Dr,1,,,72/119,,Shigenori Negishi,,,,94640
634,Zweilous,Dr,2,,,73/119,,Kagemaru Himeno,,,,94641
704,Goomy,Dr,1,Reverse,,75/119,,Sanosuke Sakuma,,,,94643
706,Goodra,Dr,5,Reverse,,77/119,,5ban Graphics,,,,94644
21,Spearow,N,1,,,78/119,,Mizue,,,,94646
22,Fearow,N,2,Reverse,,79/119,,Shin Nagasawa,,,,94647
113,Chansey,N,1,,,80/119,,Naoyo Kimura,,,,94648
242,Blissey,N,3,Art,,81/119,,kirisAki,,,,94649
659,Bunnelby,N,1,Reverse,,87/119,,Kagemaru Himeno,,,,94655
661,Fletchling,N,1,,,89/119,,Kyoko Umemoto,,,,94657
T,AZ,Su,2,,,91/119,,Ken Sugimori,,,,94659
T,Battle Compressor,I,2,,,92/119,,Toyste Beach,Yes,,,94661
T,Enhanced Hammer,I,2,,,94/119,,Ryo Ueda,,,,94690
T,Genger Spirit Link,I,2,,,95/119,,5ban Graphics,,,,94662
T,Hand Scope,I,2,Full,,96/119,,Toyste Beach,,,,94664
T,Robo Substitute,I,2,,,102/119,,Toyste Beach,,,,94670
T,Roller Skates,I,2,,,103/119,,5ban Graphics,,,,94671
T,Shauna,Su,2,,,104/119,,Ken Sugimori,Yes,,,94672
T,Steel Shelter,S,2,,,105/119,,Ryo Ueda,,,,94673
T,Tierno,Su,2,,,107/119,,Ken Sugimori,,,,94675
T,Xerosic,Su,2,,,110/119,,Yusuke Ohmura,,,,94678
T,Mystery Energy,E,2,,,112/119,,5ban Graphics,,,,94681
