Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
283	Surskit	G	1			1	Naoyo Kimura			
345	Lileep	G	2			3	Suwama Chiaki			
616	Shelmet	G	1			7	Sumiyoshi Kizuki			
649	Genesect	G	3	Art		10	Masakazu Fukuda			
637	Volcarona	F	3		Team Plasma	13	5ban Graphics			
7	Squirtle	W	1			14	Akira Komayama			
223	Remoraid	W	1	Reverse		18	Masokazu Fukuda			
362	Glalie	W	2		Team Plasma	22	5ban Graphics			
369	Relicanth	W	2		Team Plasma	24	5ban Graphics			
459	Snover	W	1			25	Shigenori Negishi			
580	Ducklett	W	1			29	Naoki Saito			
425	Drifloon	P	1			34	Kyoko Umemoto			
426	Drifblim	P	3			35	Akira Komayama			
577	Solosis	P	1	Reverse		42	Midori Harada			
579	Reuniclus	P	3			44	Kagemaru Himeno			
67	Machoke	Fg	2			48	match			
68	Machamp	Fg	3			50	Kouki Saitou			
228	Houndour	D	1			55	Sumiyoshi Kizuki			
115	Kangaskhan	N	1			71	Kouki Saitou			
137	Porygon	N	1			72	Mitsuhiro Arita			
233	Porygon2	N	2	Reverse		73	HiRON			
216	Teddiursa	N	1			75	Naoyo Kimura			
T	Caitlin	Su	2			78	Yusuke Ohmura			
T	Pokemon Catcher	I	2			83	5ban Graphics			
