Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
324,Torkoal,F,1,Reverse,,100/127,,Kouki Saitou,,,,89971
387,Turtwig,G,1,,,101/127,,Kagemaru Himeno,,,,90077
37,Vulpix,F,1,,,102/127,,Mitsuhiro Arita,,,,90442
452,Drapion lv.X,D,5,Full,,123/127,,Ryo Ueda,,,,84926
267,Beautifly,G,3,,,21/127,,Suwama Chiaki,,,,83759
487,Giratina lv. 70,P,3,Art,,28/127,,Yusuke Ishikawa,,,,85734
370,Luvdisc,W,3,,,35/127,,Kagemaru Himeno,,,,86937
492,Shaymin,G,3,Reverse,,38/127,,Kouki Saitou,Yes,,,89106
389,Torterra,G,3,,,39/127,,Kagemaru Himeno,,,,89986
332,Cacturne,G,2,,,42/127,,Mitsuhiro Arita,,,,84081
268,Cascoon,G,2,,,44/127,,Yukiko Baba,,,,84122
408,Cranidos,Fg,2,,,46/127,,Kouki Saitou,,,,84460
262,Mightyena,D,2,,,54/127,,Kouki Saitou,,,,87448
89,Muk,P,2,,,57/127,,Hajime Kusajima,,,,87624
336,Seviper,P,2,,,61/127,,Sumiyoshi Kizuki,,,89087
113,Chansey,N,1,,,69/127,,Kouki Saitou,,,,84176
390,Chimchar,F,1,,,70/127,,Kouki Saitou,,,,84288
415,Combee,G,1,,,71/127,,Kagemaru Himeno,,,,84395
50,Diglett,Fg,1,,,72/127,,Midori Harada,,,,84824
309,Electrike,El,1,,,74/127,,Miki Tanaka,,,,85141
440,Happiny,N,1,,,76/127,,Kagemaru Himeno,,,,86008
401,Kricketot,G,1,,,78/127,,Kyoko Umemoto,,,,86528
131,Lapras,W,1,,,79/127,,Mitsuhiro Arita,,,,86619
299,Nosepass,Fg,1,,,84/127,,Mitsuhiro Arita,Torn Corner,,,87802
54,Psyduck,W,1,,,87/127,,Tomokazu Komiya,,,,88439
223,Remoraid,W,1,,,90/127,,Miki Tanaka,,,,88698
447,Riolu,Fg,1,,,91/127,,Kouki Saitou,,,,88756
353,Shuppet,P,1,,,92/127,,Kyoko Umemoto,,,,89201
7,Squirtle,W,1,,,96/127,,Masokazu Fukuda,Tattered Edges,,,89495
333,Swablu,N,1,,,97/127,,Kagemaru Himeno,,,,89658
128,Tauros,N,1,,,98/127,,Mitsuhiro Arita,,,,89765
255,Torchic,F,1,,,99/127,,Naoyo Kimura,,,,89961
T,Life Herd,T,2,Full,,108/127,,Ryo Ueda,,,,86732
T,Looker's Investigation,Su,2,Full,,109/127,,Ken Sugimori,,,,86822
T,Miasma Valley,S,2,,,111/127,,Ryo Ueda,,,,87435
T,Pokemon Rescue,T,2,,,115/127,,Ryo Ueda,,,,88233
T,Power Spray,T,2,,Team Galactic's,117/127,,Yusuke Ishikawa,Bent,,,89806
T,Armor Fossil,T,1,,,119/127,,Ryo Ueda,,,,83626
T,Skull Fossil,T,1,,,120/127,,Ryo Ueda,,,,89278
