Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
1,Bulbasaur,G,1,,Jumbo,44/102,,Mitsuhuro Arita,,,8/14/2022
4,Charmander,F,1,,Jumbo,46/102,,Mitsuhuro Arita,,,8/14/2022
8,Squirtle,W,1,,Jumbo,63/102,,Mitsuhuro Arita,,,8/14/2022
25,Pikachu,El,1,,Jumbo,58/102,,Mitsuhiro Arita,,,3/5/2021
152,Chikorita,G,1,,Jumbo,54/111,,Ken Sugimori,,,8/14/2022
155,Cyndaquil,F,1,,Jumbo,57/111,,Shin-ichi Yoshida,,,8/14/2022
158,Totodile,W,1,,Jumbo,81/111,,Hironobu Yoshida,,,8/14/2022
387,Turtwig,G,1,,Jumbo,103/130,,Ken Sugimori,,,7/16/2021
390,Chimchar,F,1,,Jumbo,76/130,,Ken Sugimori,,,7/16/2021
393,Piplup,W,1,,Jumbo,93/130,,Ken Sugimori,,,7/16/2021
495,Snivy,G,4,,Jumbo,BW01,,Ken Sugimori,,,6/10/2021
498,Tepig,F,4,,Jumbo,BW01,,Ken Sugimori,,,6/10/2021
501,Oshawott,W,4,,Jumbo,BW01,,Ken Sugimori,,,6/10/2021
650,Chespin,G,4,,Jumbo,XY01,,5ban Graphics,,,5/11/2021
653,Fennekin,F,4,,Jumbo,XY02,,5ban Graphics,,,5/11/2021
656,Froakie,W,4,,Jumbo,XY03,,5ban Graphics,,,5/11/2021
722,Rowlet,G,4,,Jumbo,SM01,,Mitsuhiro Arita,,,4/4/2021
725,Litten,F,4,,Jumbo,SM02,,Megumi Mizutani,,,4/4/2021
728,Popplio,W,4,,Jumbo,SM03,,match,,,4/4/2021
810,Grookey,G,4,,Jumbo,SWSH001,,kirisAki,,,3/5/2021
813,Scorbunny,F,4,,Jumbo,SWSH002,,Hitoshi Ariga,,,3/5/2021
816,Sobble,W,4,,Jumbo,SWSH003,,Mizue,,,3/5/2021
