Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
13,Weedle,G,1,,,1/160,,Midori Harada,,,6/15/2019,XXXXXX
114,Tangela,G,1,,,4/160,,match,,,8/25/2019,XXXXXX
252,Treecko,G,1,,,6/160,,Akira Komayama,,,8/25/2019,XXXXXX
270,Lotad,G,1,,,10/160,,Kanako Eo,,,8/25/2019,XXXXXX
284,Masquerain,G,2,,,14/160,,Kanako Eo,,,9/19/2019,XXXXXX
285,Shroomish,G,1,,,15/160,,Mizue,,,6/15/2019,XXXXXX
313,Volbeat,G,1,,,17/160,,Tomokazu Komiya,,,8/25/2019,XXXXXX
314,Illumise,G,1,,,18/160,,Tomokazu Komiya,,,9/19/2019,XXXXXX
37,Vulpix,F,1,,,20/160,,kirisAki,,,5/12/2019,95904
218,Slugma,F,1,,,22/160,,Miki Tanaka,,,9/19/2019,XXXXXX
219,Magcargo,F,3,,Full Art,24/160,,Kagemaru Himeno,,,6/15/2019,XXXXXX
255,Torchic,F,1,,,25/160,,sui,,,9/19/2019,XXXXXX
116,Horsea,W,1,,,30/160,,kirisAki,,,8/25/2019,XXXXXX
117,Seadra,W,2,,,31/160,,Sanosuke Sakuma,,,8/25/2019,XXXXXX
120,Staryu,W,1,,,32/160,,Tomokazo Komiya,,,8/25/2019,XXXXXX
258,Mudkip,W,1,,,33/160,,Aya Kusube,,,6/15/2019,XXXXXX
339,Barboach,W,1,Reverse,,39/160,,Kyoko Umemoto,,,8/25/2019,XXXXXX
340,Whiscash,W,2,,,40/160,,Naoyo Kimura,,,6/15/2019,XXXXXX
363,Spheal,W,1,,,45/160,,TOKIYA,,,6/15/2019,XXXXXX
364,Sealeo,W,2,,,47/160,,Masakazu Fukuda,,,9/19/2019,XXXXXX
366,Clamperl,W,1,,,49/160,,Mitsuhiro Arita,,,5/12/2019,95947
382,Mega Primal Kyogre EX,W,5,Full,Full Art,55/160,,5ban Graphics,,,9/19/2019,XXXXXX
170,Chinchou,El,1,,,57/160,,Kagemaur Himeno,,,7/20/2019,XXXXXX
309,Electrike,El,2,Full,Full Art,60/160,,Sanosuke Sakuma,,,5/12/2019,95957
29,Nidoran F,P,1,,,66/160,,Mizue,,,9/19/2019,XXXXXX
31,Nidoqueen,P,3,,Full Art,69/160,,PLANETA,,,5/12/2019,95967
72,Tentacool,P,1,,,70/160,,Yukiko Baba,,,5/12/2019,95968
72,Tentacool,P,2,,Full Art,71/160,,Mizue,,,7/20/2019,XXXXXX
112,Rhydon,Fg,2,,,75/160,,Shin Nagasawa,,,5/12/2019,95973
299,Nosepass,Fg,1,,,78/160,,Satoahi Shirai,,,8/25/2019,XXXXXX
307,Meditite,Fg,1,,,79/160,,sui,,,5/12/2019,95977
308,Medicham,Fg,3,Reverse,Full Art,81/160,,Mitsuhiro Artia,,,8/25/2019,XXXXXX
476,Probopass,Sl,3,,,95/160,,TOKIYA,,,8/25/2019,XXXXXX
184,Azymarill,Fa,3,Full,,103/160,,MAHOU,,,6/15/2019,XXXXXX
329,Vibrava,Dr,2,,,109/160,,Yukiko Baba,,,8/25/2019,XXXXXX
263,Zigzagoon,N,1,,,111/160,,Sumiyoshi Kizuki,,,6/15/2019,XXXXXX
264,Linoone,N,2,Reverse,,112/160,,match,,,12/2/2018,96010
300,Skitty,N,1,,,113/160,,Yuka Morii,,,8/25/2019,XXXXXX
327,Spinda,N,1,,,115/160,,Mitsuhiro Arita,,,8/25/2019,XXXXXX
399,Bidoof,N,1,,,116/160,,Akira Kamayama,,,5/12/2019,96014
T,Aggron Spirit Link,I,2,,,123/160,,5ban Graphics,,,6/15/2019,XXXXXX
T,Archie's Ace in the Hole,Su,2,,,124/160,,Yusuke Ohmura,,,9/19/2019,XXXXXX
T,Energy Retrieval,I,2,,,126/160,,5ban Graphics,,,8/6/2019,XXXXXX
T,Kyogre Spirit Link,I,2,,,132/160,,5ban Graphics,,,8/25/2019,XXXXXX
T,Maxie's Hidden Ball Trick,Su,2,,,133/160,,Ken Sugimori,,,5/12/2019,96031
T,Shrine of Memories,S,2,,,139/160,,Ryo Ueda,,,8/25/2019,XXXXXX
T,Weakness Policy,I,2,Reverse,,142/160,,Ayaka Yoshida,,,9/19/2019,96040
T,Wonder Energy,Fa,2,,,144/160,,5ban Graphics,,,8/25/2019,XXXXXX
306,Aggron EX,Sl,5,Full,Full Art / Textured,153/160,,Rya Ueda,,,8/25/2019,XXXXXX
