Pokedex	Pokemon	Type	HoloFoil	Promo Event	Other	Set No.	Artist	Damaged	Price	Date
25	Pikachu	El		Mewtwo Strikes Back theatrical release		4	Ken Sugimori	Bent		
151	Mew	P		Pokémon League (January 2000)		8	Ken Sugimori	Tattered		
151	Ancient Mew	P		Pokemon The Movie 2000						6/13/2021
213	Shuckle	Fg	Holo	Undaunted Blisters		15	match			
245	Suicine	W	Holo	Fall 2010 Collectors Tins		21	Hideaki Hakozaki			
137	Porygon	N	Holo	Triumphant Three Pack Blisters		22	TOKIYA			
106	Hitmonlee	Fg	Holo	Call of Legends Three Pack Blisters		25	Kouki Saitou			
26	Raichu	El	Holo	Great Encounters Three Pack Blisters		21	Daisuke Ito	Bent		
483	Dialga	Sl	Holo	Dialga Premium Box		26	Ryo Ueda			
484	Palkia	W	Holo	Palkia Premium Box		27	Daisuke Ito			
483	Dialga X	Sl	Full	2009 Spring Collectors Tins		37	Kazuyuki Kano			
495	Snivy	G	Holo	Black & White Blisters		06	Shizurow			
610	Axew	N	Holo	Black & White Collector's Album Box		10	Masakazu Fukuda			
572	Minccino	N	Holo	Emerging Powers Two Pack Blisters		13	Atsuko Nishida			
519	Pidove	N		Black & White booster two-packs		15	Naoki Saito			
610	Axew	N		Black & White booster two-packs		16	Masakazu Fukuda			
580	Ducklett	W	Holo	Black & White Two Pack Blisters		17	Kagemaru Himeno			
643	Reshiram EX	F	Full	EX Tins	Full Art	36	Shizurow			
491	Darkrai EX	D	Full	Legendary EX Tins	Full Art	46	Toyste Beach			
648	Meloetta	P		EX Power Tins		68	Naoki Saito			
640	Virizion	G	Holo	Legends of Justice Box		70	5ban Graphics			
653	Fennekin	F	Holo	Fennekin Box		02	5ban Graphics			
716	Xerneas	Fa	Holo	Xerneas Figure Collection		05	5ban Graphics			
445	Garchomp EX	Dr	Full	Garchomp EX Box		09	Ryo Ueda			
445	Garchomp EX	Dr	Full	Garchomp EX Box	Mega Card	09	Ryo Ueda			
6	Charizard EX	F	Full	Evolutions EX Tin	Full Art	29	Eske Yoshinob			9/7/2019
376	Metagross EX	Sl	Full	Mega Metagross-EX Premium Collection	Full Art	34	PLANETA			
376	M Metagross EX	Sl	Full	Mega Metagross-EX Premium Collection	Full Art	35	5ban Graphics			
376	M Metagross EX	Sl	Full	Mega Metagross-EX Premium Collection	Full Art / Mega Card	35	5ban Graphics			
384	Rayquaza EX	Dr	Full	Powers Beyond Tin	Full Art	73	PLANETA			9/17/2019
151	Mew	P	Full	Mythical Pokemon Collection	Full Art	110	Kouki Saitou			8/16/2020
250	Ho-Oh BREAK	F	Full	BREAK Evolution Box: Ho-Oh and Lugia	Full Art / Horizontal	154	5ban Graphics			
323	M Camerupt EX	F	Full	Premium Trainers Collection	Full Art	198	5ban Graphics			7/14/2019
778	Mimikyu	P	Holo	Mimikyu Pin Collection		29	Mitsuhiro Arita			
52	Meowth	D	Holo	Burning Shadows Three Pack Blisters	Alolan	43	Megumi Mizutani			
786	Tapu Lele	P	Holo	Celestial Storm Three Pack Blisters		45	You Iribi			
785	Shiny Tapu Koko GX	El	Full	Shiny Tapu Koko GX Box	Full Art	50	5ban Graphics			4/12/2019
