Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
11,Metapod,G,2,,,2/192,,Asako Ito,,,4/25/2020,XXXXXX
270,Lotad,G,1,,,7/192,,Sumiyoshi Kizuki,,,4/25/2020,XXXXXX
271,Lombre,G,2,,,8/192,,Miki Tanaka,,,4/25/2020,XXXXXX
272,Ludicolo,G,3,,,9/192,,Masakazu Fukuda,,,4/25/2020,XXXXXX
283,Surskit,G,1,,,10/192,,Masakazu Fukuda,,,4/25/2020,XXXXXX
284,Masquerain,G,2,,,11/192,,chibi,,,4/25/2020,XXXXXX
459,Snover,G,1,,,12/192,,Shibuzoh.,,,4/25/2020,XXXXXX
708,Phantump,G,1,Reverse,,14/192,,sui,,,4/25/2020,XXXXXX
736,Grubbin,G,1,,,16/192,,Tomokazu Komiya,,,4/25/2020,XXXXXX
812,Rillaboom V,G,5,Full,Full Art,17/192,,5ban Graphics,,,4/25/2020,XXXXXX
840,Applin,G,1,,,21/192,,Kagemaru Himeno,,,4/25/2020,XXXXXX
37,Vulpix,F,1,,,24/192,,sui,,,4/25/2020,XXXXXX
58,Growlithe,F,1,,,27/192,,Ryota Murayama,,,4/25/2020,XXXXXX
126,Magmar,F,1,Reverse,,29/192,,Shigenori Negishi,,,4/25/2020,XXXXXX
631,Heatmor,F,2,Reverse,,34/192,,Satoshi Shirai,,,4/25/2020,XXXXXX
122,Galarian Mr. Mime,W,1,,,37/192,,kirisAki,,,4/25/2020,XXXXXX
129,Magikarp,W,1,,,39/192,,kanahei,,,4/25/2020,XXXXXX
278,Wingull,W,1,,,41/192,,0313,,,4/25/2020,XXXXXX
535,Tympole,W,1,,,44/192,,Aya Kusube,,,4/25/2020,XXXXXX
536,Palpitoad,W,2,,,45/192,,MAHOU,,,4/25/2020,XXXXXX
537,Seismitoad,W,3,Reverse,,46/192,,SATOSHI NAKAI,,,4/25/2020,XXXXXX
554,Galarian Darumaka,W,1,,,47/192,,Akira Komayama,,,4/25/2020,XXXXXX
818,Inteleon VMax,W,5,Full,Full Art / Textured,50/192,,5ban Graphics,,,4/25/2020,XXXXXX
845,Cramorant,W,3,,,51/192,,Mitsuhiro Arita,,,4/25/2020,XXXXXX
875,Eiscue V,W,5,,,55/192,,PLANETA Tsuji,,,4/25/2020,XXXXXX
100,Voltorb,El,1,,,56/192,,Hasegawa Saki,,,4/25/2020,XXXXXX
125,Electabuzz,El,1,,,58/192,,Midori Harada,,,4/25/2020,XXXXXX
403,Shinx,El,1,,,60/192,,Uta,,,4/25/2020,XXXXXX
404,Luxio,El,2,,,61/192,,ryoma uratsuka,,,4/25/2020,XXXXXX
405,Luxray,El,3,,,62/192,,Hasuno,,,4/25/2020,XXXXXX
694,Helioptile,El,1,,,63/192,,0313,,,4/25/2020,XXXXXX
695,Heliolisk,El,2,,,64/192,,SATOSHI NAKAI,,,4/25/2020,XXXXXX
836,Boltund V,El,5,Full,Full Art,67/192,,aky CG Works,,,4/25/2020,XXXXXX
848,Toxel,El,1,,,68/192,,nagisimo,,,4/25/2020,XXXXXX
877,Morpeko,El,2,,,73/192,,Kouki Saitou,,,4/25/2020,XXXXXX
35,Clefairy,P,1,,,74/192,,sowsow,,,4/25/2020,XXXXXX
177,Natu,P,1,,,76/192,,Naoyo Kimura,,,4/25/2020,XXXXXX
222,Galarian Corsola,P,1,,,78/192,,Mitsuhiro Arita,,,4/25/2020,XXXXXX
769,Sandygast,P,1,,,81/192,,Yuka Morii,,,4/25/2020,XXXXXX
770,Palossand,P,2,,,82/192,,Hasuno,,,4/25/2020,XXXXXX
857,Hattrem,P,2,,,84/192,,kirisAki,,,4/25/2020,XXXXXX
868,Milcery,P,1,,,86/192,,Mina Nakai,,,4/25/2020,XXXXXX
869,Alcremie,P,3,,,87/192,,Mizue,,,4/25/2020,XXXXXX
876,Indeedee,P,2,,,88/192,,Mizue,,,4/25/2020,XXXXXX
885,Dreepy,P,1,,,89/192,,Akira Komayama,,,4/25/2020,XXXXXX
887,Dragapult,P,3,Art,,91/192,,Shin Nagasawa,,,4/25/2020,XXXXXX
83,Galarian Farfetch'd,Fg,1,Reverse,,94/192,,Akira Komayama,,,4/25/2020,XXXXXX
307,Meditite,Fg,1,,,97/192,,Yukiko Baba,,,4/25/2020,XXXXXX
339,Barboach,Fg,1,,,99/192,,Atsuko Nishida,,,4/25/2020,XXXXXX
340,Whiscash,Fg,3,,,100/192,,kawayoo,,,4/25/2020,XXXXXX
837,Rolycoly,Fg,1,,,105/192,,Misa Tsutsui,,,4/25/2020,XXXXXX
838,Carkoal,Fg,2,,,106/191,,Mitsuhiro Arita,,,4/25/2020,XXXXXX
