Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
119	Seaking	W	3		e-Card	21	Hajime Kusajima	Used		8/20/2019
253	Grovyle	G	2		e-Card	31	Midori Harada	Used		8/20/2019
266	Silcoon	G	2		e-Card	43	Hajime Kusajima	Used		8/20/2019
109	Koffing	G	1		e-Card	54	Atsuko Nishida	Used		8/20/2019
296	Makuhita	Fg	1		e-Card	56	Ken Sugimori	Used		8/20/2019
296	Makuhita	Fg	1		e-Card	58	Naoyo Kimura	Used		8/20/2019
258	Mudkip	W	1			60	Ken Sugimori	Used		8/20/2019
280	Ralts	P	1		e-Card	68	Kagemaru Himeno			
285	Shroomish	G	1		e-Card	69	Atsuko Nishida	Used		8/20/2019
276	Taillow	N	1			72	Kagemaru Himeno	Used		8/20/2019
252	Treecko	G	1		e-Card	75	Midori Harada	Used		8/20/2019
278	Wingull	W	1		e-Card	77	Kouki Saitou	Used		8/20/2019
T	Fight Energy	Fg	1			105		Yes		
