Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
193	Yanma	G	1			001	Kouki Saitou			2/20/2021
469	Yanmega	G	3	Reverse		002	Souichirou Gunjima			2/20/2021
251	Celebi	G	3	Reverse		003	Yuu Nishida			7/15/2021
331	Cacnea	G	1	Reverse		004	Uta			2/20/2021
357	Tropius	G	2	Reverse		005	Akira Komayama			9/28/2022
722	Rowlet	G	1			006	HYOGONOSUKE			2/20/2021
723	Dartix	G	2			007	AKIRA EGAWA			2/20/2021
781	Dhelmise VMax	G	5	Full	Full Art / Textured	010	PLANETA Mochizuki			2/20/2021
810	Grookey	G	1			011	Naoki Saito			2/20/2021
811	Thwackey	G	2			012	0313			2/20/2021
812	Rillaboom	G	3	Holo		013	Anesaki Dynamic			2/20/2021
829	Gossifleur	G	1			014	Yukiko Baba			2/20/2021
830	Eldegoss	G	2			015	kodama			2/20/2021
893	Zarude	G	3			016	Kouki Saitou			2/20/2021
815	Cinderace V	F	5	Full	Full Art	018	5ban Graphics			2/20/2021
116	Horsea	W	1	Reverse		020	Toira Akitsu			2/20/2021
418	Buizel	W	1			022	ryoma uratsuka			2/20/2021
419	Floatzel	W	2			023	AKIRA EGAWA			2/20/2021
490	Manaphy	W	3			024	Marumi Sato			2/20/2021
721	Volcanion	W	3			025	nagimiso			2/20/2021
833	Chewtle	W	1			026	sowsow			2/20/2021
834	Drednaw	W	3			027	Masakasu Fukuda			2/20/2021
845	Cramorant	W	2	Reverse		028	HYOGONOSUKE			7/15/2021
872	Snom	W	1			029	Tika Matsuno			2/20/2021
873	Frosmoth	W	3	Reverse		030	Kagemaru Himeno			2/20/2021
403	Shinx	El	1			031	Uta			2/20/2021
404	Luxio	El	2			032	NC Empire			2/20/2021
479	Rotom	El	2			034	ryoma uratsuka			2/20/2021
877	Morpeko	El	1			035	Saya Tsuruta			2/20/2021
877	Morpeko	El	1			036	Hideki Ishikawa			2/20/2021
877	Morpeko VMax	El	5	Full	Full Art / Textured	038	PLANETA Mochizuki			2/20/2021
328	Trapinch	Fg	1			040	MAHOU			2/20/2021
109	Koffing	D	1			041	Pani Kobayashi			2/20/2021
167	Spinarak	D	1	Reverse		043	sowsow			2/20/2021
717	Yveltal	D	6	Holo	Textured	046	Hasuno			2/20/2021
827	Nickit	D	1			047	kirisAki			2/20/2021
878	Cufant	Sl	1			049	0313			2/20/2021
132	Ditto VMax	N	5	Full	Full Art / Textured	051	PLANETA Tsuji			2/20/2021
133	Eevee	N	1			052	so-taro			2/20/2021
876	Indeedee	N	3	Holo		056	Souichirou Gunjima			7/15/2021
T	Ball Guy	Su	2	Reverse		057	Hitoshi Ariga			2/20/2021
T	Boss's Orders	Su	3		Lysandre	058	Ryuta Fuse			7/15/2021
T	Gym Trainer	Su	2			059	Ryuta Fuse			2/20/2021
T	Professor's Research	Su	3	Reverse	Professor Juniper	060	Hideki Ishikawa			2/20/2021
T	Rusted Shield	I	2			061	5ban Graphics			2/20/2021
T	Rusted Sword	I	2			062	5ban Graphics			2/20/2021
T	Team Yell Towel	I	2			063	Studio Bora Inc.			2/20/2021
T	Rose	Su	5	Full	Full Art	071	Megumi Misutani			2/20/2021
