Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
1	Bulbasaur	G	1			1	Mizue			7/20/2019
2	Ivysaur	G	1			2	Kouki Saitou			11/16/2019
3	Venusaur	G	2			3	Eske Yoshinob			11/16/2019
640	Virizion	G	3	Art		8	kawayoo			11/16/2019
636	Larvesta	F	1			12	kawayoo			7/20/2019
725	Litten	F	1			15	Mitsuhiro Arita			11/16/2019
726	Torracat	F	1			16	Shin Nagasawa			7/20/2019
727	Incineroar	F	2			17	Emi Ando			11/16/2019
158	Totodile	W	1			18	TOKIYA			11/16/2019
159	Croconaw	W	1			19	Naoki Saito			11/16/2019
160	Feraligatr	W	2			20	nogimiso			11/16/2019
211	Qwilfish	W	1			21	Shin Nagasawa			11/16/2019
418	Buizel	W	1			22	Sekio			11/16/2019
419	Floatzel	W	2			23	Suwama Chiaki			11/16/2019
490	Manaphy	W	3	Art		25	Kagemaru Himeno			11/16/2019
25	Pikachu	El	1			28	Kagemaru Himeno			7/20/2019
100	Voltorb	El	1			30	match			11/16/2019
101	Electrode	El	2			31	Kyoko Umemoto			11/16/2019
311	Plusle	El	1			33	Tomokazu Komiya			7/20/2019
312	Minun	El	1			34	nogimiso			11/16/2019
23	Ekans	P	1	Reverse		36	DemizuPosuko			11/16/2019
24	Arbok	P	2	Reverse		37	kodama			11/16/2019
381	Latios	P	3	Art		41	Mitsuhiro Arita			11/16/2019
622	Golett	P	1			43	Kyoko Umemoto			11/16/2019
802	Marshadow	P	3	Art	HoloBleed	45	Emi Anda			11/16/2019
618	Stunfisk	Fg	1			46	Naoyo Kimura			11/16/2019
442	Spiritomb	D	2	Reverse		47	Kouki Saitou			11/16/2019
509	Purrlion	D	1			48	Naoyo Kimura			11/16/2019
510	Liepard	D	2			49	kawayoo			11/16/2019
559	Scraggy	D	1			50	Sekio			11/16/2019
560	Scrafty	D	2			51	Mitsuhiro Arita			11/16/2019
570	Zorua	D	1			52	kodama			7/20/2019
571	Zoroark GX	D	3	Full	Full Art	53	5ban Graphics			11/16/2019
T	Damage Mover	I	2			58	Toyste Beach			11/16/2019
T	Hau	Su	2	Reverse		61	Ken Sugimori			11/16/2019
T	Lillie	Su	2			62	Ken Sugimori			11/16/2019
T	Pokemon Catcher	I	2			64	Toyste Beach			11/16/2019
T	Super Scoop Up	I	2			66	Toyste Beach			11/16/2019
T	Ultra Ball	I	2	Reverse		68	Ryo Ueda			11/16/2019
T	Ultra Ball	I	2	Reverse	Alternate Art / League Cup	68a	Ryo Ueda			1/29/2020
