Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
114	Tangela	G	1			1	OOYAMA			7/14/2019
465	Tangrowth	G	2			2	kirisAki			7/26/2019
187	Hoppip	G	1	Reverse		3	Mina Nakai			8/6/2019
188	Skiploom	G	2			4	Eri Yamaki			7/14/2019
193	Yanma	G	1			6	match			
469	Yanmega	G	3			7	Midori Harada			1/2/2020
273	Seedot	G	1	Reverse		9	sui			4/12/2019
274	Nuzleaf	G	2			10	Ayaka Yoshida			9/17/2019
275	Shiftry	GD	3	Art	Dual Type / Shiny	11	Kagemaru Himeno			6/15/2019
590	Foongus	G	1			12	Yuka Morii			12/28/2019
591	Amoonguss	G	3			13	Ken Sugimori			6/29/2019
636	Larvesta	G	1			14	Tomokazu Komiya			9/17/2019
637	Volcarona	GF	3		Dual Type / Shiny	15	Kouki Saitou			7/14/2019
77	Ponyta	F	1			16	Sumiyoshi Kizuki			
78	Rapidash	F	2			17	Yukiko Baba			
390	Chimchar	F	1	Reverse		18	Shibuzoh			7/14/2019
391	Monferno	F	2			19	Mizue			12/28/2019
392	Infernape	F	3	Art		20	Naoki Saito			2/16/2020
667	Litleo	F	1	Reverse		22	Kyoko Umemoto			9/7/2019
226	Mantine	W	1			27	DemizuPosuka			12/28/2019
501	Oshawott	W	1			30	sui			
502	Dewott	W	2			31	Shin Nagasawa			
692	Clauncher	W	1			33	Kanako Eo			9/7/2019
712	Bergmite	W	1			36	Midori Harada			9/7/2019
713	Avalugg	W	3	Reverse		37	Saya Tsuruta			12/28/2019
179	Mareep	El	1			38	Eri Yamaki			
180	Flaaffy	El	2			39	MAHOU			7/14/2019
181	Ampharos	El	3			40	Kanako Eo			8/6/2019
595	Joltik	El	1			41	Ayaka Yoshida			
596	Galvantula	ElG	3		Dual Type / Shiny	42	match			
32	Nidoran M	P	1			43	Hasuno			7/26/2019
33	Nidorino	P	2			44	TOKIYA			
34	Nidoking	P	3			45	Mina Nakai			9/17/2019
425	Drifloom	P	1			46	kodama			8/6/2019
426	Drifblim	P	2			47	Miki Tanaka			
607	Litwick	P	1			48	Ken Sugimori			7/14/2019
608	Lampent	P	2			49	miki kudo			7/26/2019
609	Chandelure	P	3	Art		50	Tomokazu Komiya			
720	Hoopa	P	3	Art		51	Yoshinobu Saito			8/6/2019
56	Mankey	Fg	1	Reverse		52	Hitoshi Ariga			9/17/2019
57	Primeape	Fg	3			53	Masakazu Fukuda			7/26/2019
299	Nosepass	Fg	1			54	You Iribi			
476	Probopass	Fg	3	Reverse		55	MAHOU			12/28/2019
347	Anorith	Fg	2	Reverse		56	Shigenori Negishi			
348	Armaldo	Fg	3			57	Satoshi Shirai			9/7/2019
453	Croagunk	Fg	1			58	Masakazu Fukuda			7/14/2019
454	Toxicroak	Fg	3			59	Hajime Kusajima			
215	Sneasel	D	1			60	Hajime Kusajima			
461	Weavile	D	3			61	kawayoo			9/7/2019
442	Spiritomb	D	3			62	Ken Sugimori			8/6/2019
624	Pawniard	D	1			63	Sumiyoshi Kizuki			
625	Bisharp	DSl	3	Art	Dual Type / Shiny	64	Shin Nagasawa			5/12/2019
208	Steelix EX	Sl	5	Full	Full Art	67	Eske Yoshinob			
410	Shieldon	Sl	2			69	Mizue			9/7/2019
599	Klink	Sl	1			71	Miki Tanaka			
600	Klang	Sl	2			72	Shigenori Negishi			
183	Marill	Fa	1	Reverse		76	Shibuzoh			9/7/2019
184	Azumarill	FaW	2		Dual Type / Shiny	77	Sanosuke Sakuma			
707	Klefki	Fa	2			80	Saya Tsuruta			6/29/2019
716	Xerneas	Fa	3	Art		81	Megumi Mizutani			12/28/2019
716	Xerneas BREAK	Fa	5	Full	Full Art / Break	82	5ban Graphics			6/29/2019
621	Druddigon	Dr	3	Reverse		83	kawayoo			7/14/2019
633	Deino	Dr	1			84	Suwama Chiaki			6/29/2019
634	Zweilous	Dr	2			85	Ken Sugimori			
635	Hydreigon	Dr	3	Art		86	Hideki Ishikawa			7/14/2019
52	Meowth	N	1			88	Masakazu Fukuda			
53	Persian	N	2			89	Anesaki Dynamic			
190	Aipom	N	1			90	Naoki Saito			4/12/2019
424	Ambipom	N	2	Reverse		91	Atsuko Nishida			
627	Rufflet	N	1	Reverse		92	Mitsuhiro Arita			
661	Fletchling	N	1	Reverse		94	TOKIYA			
662	Fletchinder	N	2			95	Shigenori Negishi			8/6/2019
701	Hawlucha	N	2			97	miki kudo			7/26/2019
T	Armor Fossil Shieldon	I	2			98	Toyste Beach			6/29/2019
T	Claw Fossil Anorith	I	2			100	Toyste Beach			7/30/2019
T	Gardevoir Spirit Link	I	2			101	5ban Graphics			8/6/2019
T	Greedy Dice	I	2			102	Toyste Beach			
T	Ninja Boy	Su	2			103	Megumi Mizutani			7/14/2019
T	Pokemon Ranger	Su	2			104	Yusuke Ohmura			
T	Special Charge	I	2			105	Toyste Beach			4/12/2019
T	Steelix Spirit Link	I	2	Reverse		106	5ban Graphics			1/2/2020
