Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
10,Caterpie,G,1,,,1/149,,Kanako Eo,,,
11,Metapod,G,2,Reverse,,2/149,,Yuka Morii,,,8/10/2019
12,Butterfree,G,3,,,3/149,,chibi,,,
46,Paras,G,1,,,4/149,,Ayaka Yoshida,,,
47,Parasect,G,3,,,5/149,,Eri Yamaki,,,
127,Pinsir,G,2,Card,,6/149,,DemizuPosuka,,,8/1/2019
283,Surskit,G,1,,,7/149,,Kyoko Umemoto,,,
723,Dartrix,G,2,,,10/149,,Mizue,,,
736,Grubbin,G,1,,,13/149,,Akira Komayama,,,
753,Fomantis,G,1,,,14/149,,Kagemaru Himeno,,,
755,Morelull,G,1,,,16/149,,Saya Tsuruta,,,
761,Bounsweet,G,1,,,18/149,,Akira Komayama,,,
762,Steenee,G,2,,,19/149,,Mizue,,,
58,Growlithe,F,1,,,21/149,,MAHOU,,,
324,Torkoal,F,1,,,23/149,,sui,,,
725,Litten,F,1,,,24/149,,Akira Komayama,,,
726,Torracat,F,2,,,25/149,,TOKIYA,,,7/20/2019
727,Incineroar,F,3,,,26/149,,Hitoshi Ariga,,,
54,Psyduck,W,1,,,28/149,,Shibuzoh.,,,4/20/2019
60,Poliwag,W,1,,,30/149,,Asaka Ito,,,
61,Poliwhirl,W,2,,,31/149,,Atsuko Nishida,,,
90,Shellder,W,1,,,33/149,,Midori Harada,,,
91,Cloyster,W,3,,,34/149,,Yoshinobu Saito,,,
222,Corsola,W,2,Reverse,,36/149,,Satoshi Shirai,,,
278,Wingull,W,1,,,37/149,,Aya Kusube,,,
279,Pelipper,W,2,,,38/149,,Sumiyoshi Kizuki,,,4/20/2019
728,Popplio,W,1,,,39/149,,Kouki Saitou,,,
729,Brionne,W,2,,,40/149,,Saya Tsurata,,,
746,Wishiwashi,W,2,Full,,44/149,,Mitsuhiro Arita,,,
751,Dewpider,W,1,,,45/149,,Kagemaru Himeno,,,
752,Araquanid,W,2,,,46/149,,match,,,8/10/2019
771,Pyukumuku,W,2,,,47/149,,You Iribi,,,
779,Bruxish,W,3,,,48/149,,Mizue,,,
170,Chinchou,El,1,,,49/149,,Ayaka Yoshida,,,
737,Charjabug,El,2,Reverse,,51/149,,Naoki Saito,,,
777,Togedemaru,El,1,,,53/149,,Megumi Mizutani,,,
41,Zubat,P,1,,,54/149,,Satoshi Shirai,,,
169,Crobat,P,3,Art,,56/149,,DemizuPosuka,,,
88,Alolan Grimer,P,1,,,57/149,,Naoki Saito,,,8/10/2019
96,Drowzee,P,1,,,59/149,,Suwama Chiaki,,,
97,Hypno,P,2,,,60/149,,OOYAMA,,,
747,Mareanie,P,1,Reverse,,62/149,,match,,,
789,Cosmog,P,1,,,64/149,,Megumi Mizutani,,,7/20/2019
790,Cosmoem,P,3,,,65/149,,Sanosuke Sakuma,,,
792,Lunala GX,P,5,Full,Full Art,66/149,,PLANETA,,$2.27,4/20/2019
296,Makuhita,Fg,1,,,67/149,,Mina Nakai,,,
297,Hariyama,Fg,3,,,68/149,,Miki Tanaka,,,
524,Roggenrola,Fg,1,Card,,69/149,,Kanako Eo,,,7/26/2019
525,Boldore,Fg,2,,,70/149,,Shigenori Negishi,,,
526,Gigalith,Fg,3,Reverse,,71/149,,Eske Yoshinob,,,8/1/2019
739,Crabrawler,Fg,1,Full,,72/149,,Shin Nagasawa,,,4/20/2019
770,Palossand,Fg,3,,,75/149,,Kouki Saitou,,,
19,Alolan Rattata,D,1,,,76/149,,Kouki Saitou,,,
20,Alolan Raticate,D,2,,,77/149,,match,,,
52,Alolan Meowth,D,1,Reverse,,78/149,,Kagemaru Himeno,,,
53,Alolan Persian,D,2,,,79/149,,kirisAki,,,
318,Carvanha,D,1,,,81/149,,Sumiyoshi Kizuki,,,
551,Sandile,D,1,,,83/149,,Atsuko Nishida,,,
553,Krookodile,D,3,Art,,85/149,,Hajime Kusajima,,,
50,Alolan Diglett,Sl,1,,,86/149,,Megumi Mizutani,,,
227,Skarmory,Sl,1,,,88/149,,Anesaki Dynamic,,,
791,Solgaleo GX,Sl,5,Full,Full Art,89/149,,PLANETA,,,
