Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
10	Caterpie	G	1			1	Kanako Eo			
11	Metapod	G	2	Reverse		2	Yuka Morii			8/10/2019
12	Butterfree	G	3			3	chibi			
46	Paras	G	1			4	Ayaka Yoshida			
47	Parasect	G	3			5	Eri Yamaki			
127	Pinsir	G	2	Reverse		6	DemizuPosuka			8/1/2019
283	Surskit	G	1			7	Kyoko Umemoto			
284	Masquerain	G	3			8	miki kudo			4/4/2021
723	Dartrix	G	2			10	Mizue			
736	Grubbin	G	1			13	Akira Komayama			
753	Fomantis	G	1			14	Kagemaru Himeno			
755	Morelull	G	1			16	Saya Tsuruta			
761	Bounsweet	G	1			18	Akira Komayama			
762	Steenee	G	2			19	Mizue			
763	Tsareena	G	3	Reverse		20	Shin Nagasawa			4/4/2021
58	Growlithe	F	1			21	MAHOU			
324	Torkoal	F	1			23	sui			
725	Litten	F	1			24	Akira Komayama			
726	Torracat	F	2			25	TOKIYA			7/20/2019
727	Incineroar	F	3			26	Hitoshi Ariga			
54	Psyduck	W	1			28	Shibuzoh.			4/20/2019
60	Poliwag	W	1			30	Asaka Ito			
61	Poliwhirl	W	2			31	Atsuko Nishida			
90	Shellder	W	1			33	Midori Harada			
91	Cloyster	W	3			34	Yoshinobu Saito			
222	Corsola	W	2	Reverse		36	Satoshi Shirai			
278	Wingull	W	1			37	Aya Kusube			
279	Pelipper	W	2			38	Sumiyoshi Kizuki			4/20/2019
728	Popplio	W	1			39	Kouki Saitou			
729	Brionne	W	2			40	Saya Tsurata			
740	Crabominable	W	3			43	TOKIYA			5/11/2021
746	Wishiwashi	W	2	Reverse		44	Mitsuhiro Arita			
751	Dewpider	W	1			45	Kagemaru Himeno			
752	Araquanid	W	2			46	match			8/10/2019
771	Pyukumuku	W	2			47	You Iribi			
779	Bruxish	W	3			48	Mizue			
170	Chinchou	El	1			49	Ayaka Yoshida			
737	Charjabug	El	2	Reverse		51	Naoki Saito			
777	Togedemaru	El	1			53	Megumi Mizutani			
41	Zubat	P	1	Reverse		54	Satoshi Shirai			7/15/2021
42	Golbat	P	2			55	Masakazu Fukuda			5/11/2021
169	Crobat	P	3	Art		56	DemizuPosuka			
88	Grimer	P	1		Alolan	57	Naoki Saito			8/10/2019
96	Drowzee	P	1			59	Suwama Chiaki			
97	Hypno	P	2			60	OOYAMA			
747	Mareanie	P	1	Reverse		62	match			
789	Cosmog	P	1			64	Megumi Mizutani			7/20/2019
790	Cosmoem	P	3			65	Sanosuke Sakuma			
792	Lunala GX	P	5	Full	Full Art	66	PLANETA		$2.27	4/20/2019
296	Makuhita	Fg	1			67	Mina Nakai			
297	Hariyama	Fg	3			68	Miki Tanaka			
524	Roggenrola	Fg	1	Reverse		69	Kanako Eo			7/26/2019
525	Boldore	Fg	2			70	Shigenori Negishi			
526	Gigalith	Fg	3	Art		71	Eske Yoshinob			8/1/2019
739	Crabrawler	Fg	1	Reverse		72	Shin Nagasawa			4/20/2019
766	Passimian	Fg	2			73	Naoki Saito			7/15/2021
769	Sandygast	Fg	1			74	Akira Komayama			6/10/2021
770	Palossand	Fg	3			75	Kouki Saitou			
19	Rattata	D	1		Alolan	76	Kouki Saitou			
20	Raticate	D	2		Alolan	77	match			
52	Meowth	D	1	Reverse	Alolan	78	Kagemaru Himeno			
53	Persian	D	2		Alolan	79	kirisAki			
318	Carvanha	D	1			81	Sumiyoshi Kizuki			
551	Sandile	D	1			83	Atsuko Nishida			
553	Krookodile	D	3	Art		85	Hajime Kusajima			
50	Diglett	Sl	1		Alolan	86	Megumi Mizutani			
227	Skarmory	Sl	1			88	Anesaki Dynamic			
791	Solgaleo GX	Sl	5	Full	Full Art	89	PLANETA			
209	Snubbull	Fa	1			90	Tomokazu Komiya			
210	Granbull	Fa	2	Reverse		91	Suwama Chiaki			
742	Cutiefly	Fa	1	Reverse		92	Hitoshi Ariga			3/5/2021
147	Dratini	Dr	1			94	Naoyo Kimura			
148	Dragonair	Dr	2			95	hatachu			
149	Dragonite	Dr	3	Reverse		96	Hiroyuki Yamamoto			
21	Spearow	N	1			97	Yukiko Baba			
22	Fearow	N	1			98	Hideki Ishikawa			
133	Eevee	N	1			101	Shibuzoh.			
327	Spinda	N	2			102	Shigenori Negishi			
506	Lillipup	N	1	Reverse		103	MAHOU			
508	Stoutland	N	3	Reverse		105	Kagemaru Himeno			5/11/2021
731	Pikipek	N	1			106	Shin Nagasawa			
732	Trumbeak	N	2			107	Kouki Saitou			
733	Toucannon	N	3	Reverse		108	Megumi Mizutani			
734	Yungoos	N	1			109	match			
759	Stufful	N	1			111	Sanosuke Sakuma			
760	Bewear	N	3	Reverse		112	kirisAki			
T	Big Malasada	I	2			114	5ban Graphics			
T	Crushing Hammer	I	2			115	Yoshinobu Saito			
T	Exp. Share	I	2	Reverse		118	Toyste Beach			
T	Great Ball	I	2			119	Ryo Ueda			
T	Hau	Su	2	Reverse		120	Ken Sugimori			
T	Ilima	Su	2	Reverse		121	Ken Sugimori			
T	Lillie	Su	2			122	Ken Sugimori			
T	Nest Ball	I	2			123	Toyste Beach			
T	Poison Barb	I	2			124	Toyste Beach			
T	Poke Ball	I	2			125	Ryo Ueda			
T	Professor Kukui	Su	2			128	Ken Sugimori			
T	Rare Candy	I	2	Reverse		129	Toyste Beach			
T	Repel	I	2			130	Yoshinobu Saito			
T	Rotom Dex	I	2			131	5ban Graphics			
T	Switch	I	2			132	Ryo Ueda			
T	Team Skull Grunt	Su	2			133	Ken Sugimori			
T	Timer Ball	I	2			134	Toyste Beach			
T	Ultra Ball	I	2	Full		135	Ryo Ueda			
T	Rainbow Energy	Sp				137				3/5/2021
T	Professor Kukui	Su	5	Full	Full Art	148	Megumi Mizutani			
