Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
426	Drifblim	P	3	Art	Frontier Brain's	3	Lee HyunJung			
464	Rhyperior	Fg	3	Reverse		10	Hajime Kusajima			8/30/2019
59	Arcanine G	F	3	Reverse Special	Team Galactic's	15	Yusuke Ishikawa			
12	Butterfree FB	G	3	Reverse	Frontier Brain's	17	Lee HyunJung			
12	Butterfree FB	G	3	Reverse Special	Frontier Brain's	17	Lee HyunJung			
395	Empoleon FB	W	3	Reverse Special	Frontier Brain's	27	Hiraki Fuchino			
350	Milotic C	W	3	Art	Champion's	35	kawayoo			
146	Moltres	F	3			36	Kouki Saitou			
57	Primeape	Fg	3			39	Midori Harada			
407	Roserade C	P	3		Champion's	40	kawayoo	Yes		
321	Wailord	W	3			47	Midori Harada			
334	Altaria C	N	2		Champion's	49	kawayoo			
59	Arcanine	F	2			50	Atsuko Nishida	Dirty		
286	Breloom	Fg	2			52	Kyoko Umemoto			
421	Cherrim	G	2			55	Saya Tsuruta			
445	Garchomp C	N	2		Champion's	60	kawayoo			
449	Hippopotas	Fg	2			61	Masakazu Fukuda			
375	Metang	Sl	2	Reverse		69	Kyoko Umemoto			
198	Murkrow	D	2			72	Yukiko Baba			
291	Ninjask	G	2			73	Kouki Saitou			
369	Relicanth	Fg	2			79	Sumiyoshi Kizuki			
112	Rhydon	Fg	2			80	Masokazu Fukuda			
442	Spiritomb C	P	2		Champion's	84	kawayoo			
468	Togekiss C	N	2		Champion's	86	kawayoo			8/30/2019
193	Yanma	G	2			88	Midori Harada			
374	Beldum	Sl	1			90	Atsuko Nishida			
399	Bidoof	N	1			91	Atsuko Nishida			
418	Buizel	W	1			92	Kagemaru Himeno			
427	Buneary	N	1			94	Kanako Eo			
441	Chatot	N	1	Reverse		95	Satoshi Ohta			
433	Chingling	P	1			98	Kagemaru Himeno			
415	Combee	G	1	Reverse		99	Atsuko Nishida			
341	Corphish	W	1			100	Hajime Kusajima			
453	Croagunk	P	1			101	Masakazu Fukuda			
349	Feebas	W	1			104	Mitsuhiro Arita			
443	Gible	N	1			106	Kanako Eo	Scratched		7/20/2019
401	Kricketot	G	1			109	Kouki Saitou			
56	Mankey	Fg	1			112	Kanaka Eo			
439	Mime Jr.	P	1			115	Miki Tanaka			
258	Mudkip	W	1			116	Kouki Saitou			
46	Paras	G	1			119	Yukiko Baba			
451	Skorupi	P	1			128	Hajime Kusajima			
396	Starly	N	1			129	Mitsuhiro Arita			
283	Surskit	G	1			130	Miki Tanaka			
41	Zubat	P	1			133	Masokazu Fukuda			
T	Champion's Room	S	2			135	Yusuke Ishikawa			
445	Garchomp C X	N	5		Champion's World Championships 2010	145	Shizurow			
