Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
547,Whimsicott,G,3,,,6/202,,kodama,,,1/25/2020,XXXXXX
810,Grookey,G,1,,,10/202,,Naoki Saito,,,1/25/2020,XXXXXX
824,Blipbug,G,1,Reverse,,16/202,,nagimiso,,,1/25/2020,XXXXXX
825,Dottler,G,2,,,18/202,,Misa Tsutsui,,,1/25/2020,XXXXXX
829,Gossifleur,G,1,,,20/202,,Saya Tsuruta,,,1/25/2020,XXXXXX
757,Salandit,F,1,,,27/202,,SATOSHI NAKAI,,,1/25/2020,XXXXXX
758,Salazzle,F,2,,,28/202,,Tomokazu Komiya,,,1/25/2020,XXXXXX
776,Turtonator,F,3,Reverse,,29/202,,KEIICHIRO ITO,,,1/25/2020,XXXXXX
813,Scorbunny,F,1,,,30/202,,kirisAki,,,1/25/2020,XXXXXX
813,Scorbunny,F,1,,,31/202,,Kagemaru Himeno,,,1/25/2020,XXXXXX
814,Raboot,F,2,,,33/202,,kirisAki,,,1/25/2020,XXXXXX
850,Sizzlipede,F,1,,,37/202,,Akira Komayama,,,1/25/2020,XXXXXX
