Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
130	Dark Gyarados	W	3	Confetti	25th Anniversary	8	Kagemaru Himeno			8/14/2022
T	Here Comes Team Rocket!	T	3	Confetti	25th Anniversary	15	Ken Sugimori			8/14/2022
44	Dark Gloom	G	2			36	Kagemaru Himeno			
89	Dark Muk	G	2			41	Kagemaru Himeno			
63	Abra	P	1			49	Sumiyoshi Kizuki			
4	Charmander	F	1			50	Kagemaru Himeno			
20	Dark Raticate	N	1			51	Shin-Ichi Toshida			
50	Diglett	Fg	1			52	Sumiyoshi Kizuki			
96	Drowzee	P	1			54	Kagemaru Himeno			
133	Eevee	N	1			55	Atsuko Nishida			
88	Grimer	G	1			57	Kagemaru Himeno			
109	Koffing	G	1			58	Sumiyoshi Kizuki			
52	Meowth	N	1		Edition 1	62	Atsuko Nishida			7/20/2019
T	Nightly Garbage Run	T	2			77	Sumiyoshi Kizuki			
T	Potion Energy	N	2			82	Keiji Kinebuchi			
