Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
13	Weedle	G	1			2	Shibuzoh.			8/27/2019
13	Weedle	G	1			3	SATOSHI NAKAI			4/22/2019
14	Kakuna	G	2			4	Yuka Morii			8/27/2019
46	Paras	G	1			6	Naoyo Kimura			4/22/2019
47	Parasect	G	3			7	Satoshi Shirai			4/22/2019
102	Exeggcute	G	1			8	Ken Sugimori			4/22/2019
4	Charmander	F	1			11	Naoyo Kimura			8/27/2019
4	Charmander	F	1			12	Atusko Nishida			7/5/2019
5	Charmeleon	F	2			13	Ayaka Yoshida			4/22/2019
37	Vulpix	F	1			15	Ken Sugimori			5/12/2019
77	Ponyta	F	1			17	Saya Tsuruta			12/20/2019
78	Rapidash	F	2			18	Shigenori Negishi			7/5/2019
725	Litten	F	1			20	sui			5/12/2019
726	Torract	F	2			21	Sanosuke Sakuma			8/27/2019
7	Squirtle	W	1			22	sui			8/27/2019
8	Wartortle	W	2			24	Misa Tsutsui			10/14/2019
54	Psyduck	W	1			26	Kouki Saitou			7/20/2019
55	Golduck	W	2			27	Masakazu Fukuda			5/12/2019
120	Staryu	W	1			28	Ken Sugimori			6/15/2019
129	Magikarp	W	1	Reverse		29	sui			7/20/2019
144	Articuno	W	3	Art		32	Yusuke Ohmura			8/27/2019
74	Geodude	El	1		Alolan	34	Yukiko Baba			
74	Geodude	El	1		Alolan	35	Yuka Morii			10/14/2019
75	Graveler	El	2	Reverse	Alolan	36	Misa Tsutsui			4/22/2019
76	Golem	El	3		Alolan	37	kawayoo			12/20/2019
100	Voltorb	El	1			38	Ken Sugimori			7/5/2019
179	Mareep	El	1			41	Akira Komayama			5/12/2019
180	Flaaffy	El	2	Reverse		42	Shibuzoh.			
522	Blitzle	El	1	Reverse		44	Akira Komayama			8/27/2019
587	Emolga	El	1			46	Megumi Mizutani			5/12/2019
595	Joltik	El	1			47	Yuka Morii			4/22/2019
694	Helioptile	El	1			49	Ken Sugimori			4/22/2019
695	Heliolisk	El	2			50	Sumiyoshi Kizuki			10/14/2019
785	Tapu Koko	El	3	Full	Prism Star	51	Kouki Saitou			7/5/2019
29	Nidoran F	P	1			54	miki kudo			7/5/2019
30	Nidorina	P	2			55	Kagemaru Himeno			6/15/2019
31	Nidoqueen	P	3	Reverse		56	nogisimo			8/27/2019
32	Nidoran M	P	1			57	Naouo Kimura			7/5/2019
33	Nidorino	P	2			58	Kouki Saitou			4/22/2019
34	Nidoking	P	3			59	kawayoo			8/27/2019
72	Tentacool	P	1			60	Ken Sugimori			8/27/2019
88	Grimer	P	1	Reverse		62	Ken Sugimori			10/14/2019
89	Muk	P	3			63	Anesaki Dynamic			10/14/2019
124	Jynx	P	2			68	HYOGONOSUKE			8/27/2019
789	Cosmog	P	1			69	sui			7/5/2019
790	Cosmoem	P	2			70	Kouki Saitou			7/5/2019
56	Mankey	Fg	1	Reverse		71	Akira Komayama			
106	Hitmonlee	Fg	2			73	Tomokazu Komiya			
107	Hitmonchan	Fg	2			74	Tomokazu Komiya			8/27/2019
140	Kabuto	Fg	2			77	sui			8/27/2019
141	Kabutops	Fg	3			78	Shin Nagasawa			8/27/2019
246	Larvitar	Fg	1			79	Ken Sugimori			7/20/2019
247	Pupitar	Fg	2			80	Anesaki Dynamic			10/14/2019
674	Pancham	Fg	1			81	Yuka Morii			
88	Grimer	D	1		Alolan	83	SATOSHI NAKAI			8/27/2019
89	Muk	D	3		Alolan	84	Midori Harada			10/14/2019
261	Poochyena	D	1			86	Ken Sugimori			4/22/2019
262	Mightyena	D	3			87	kirisAki			8/27/2019
442	Spiritomb	D	2	Reverse		89	HYOGONOSUKE			10/14/2019
570	Zorua	D	1			90	Naoyo Kimura			8/27/2019
629	Vullaby	D	1	Reverse		92	Eri Yamaki			10/14/2019
630	Mandibuzz	D	3			93	Ayaka Yoshida			8/27/2019
675	Pangoro	D	3			94	Satoshi Shirai			7/5/2019
227	Skarmory	Sl	3			98	kirisAki			8/27/2019
385	Jirachi	Sl	3	Art		99	HYOGONOSUKE			7/5/2019
597	Ferroseed	Sl	1	Reverse		102	Shigenori Negishi			8/27/2019
624	Pawniard	Sl	1			104	Masakazu Fukuda			
625	Bisharp	Sl	3			105	Anesaki Dynamic			7/20/2019
679	Honedge	Sl	1			107	sui			7/5/2019
680	Doublade	Sl	2			108	Shin Nagasawa			
681	Aegislash	Sl	3	Reverse		109	Kagemaru Himeno			8/27/2019
707	Klefki	Sl	1	Reverse		110	Shingenori Negishi			10/14/2019
38	Ninetales	Fa	3	Reverse	Alolan	111	Misa Tsuitsui			
778	Mimikyu	Fa	3	Reverse		112	Eri Yamaki			5/12/2019
380 & 381	Latias & Latios GX	Dr	5	Full	Full Art / Team Up	113	Mitsuhiro Arita			8/27/2019
103	Exeggutor	Dr	3	Reverse	Alolan	115	Sanosuke Sakuma			12/20/2019
147	Dratini	Dr	1			116	Midori Harada			8/27/2019
147	Dratini	Dr	1	Reverse		117	Kouki Saitou			5/12/2019
133 & 143	Eevee & Snorlax GX	N	5	Full	Full Art / Team Up	120	Mitsuhiro Arita			6/15/2019
16	Pidgey	N	1			121	Shigenori Negishi			8/27/2019
16	Pidgey	N	1			122	Sumiyoshi Kizuki			10/14/2019
17	Pidgeotto	N	1			123	Mizue			7/5/2019
18	Pidgeot	N	3			124	Akira Komayama			7/5/2019
52	Meowth	N	1			125	Ken Sugimori			12/20/2019
53	Persian	N	2	Reverse		126	Yukiko Baba			8/27/2019
83	Farfetch'd	N	2			127	Shibuzoh.			7/20/2019
115	Kangaskhan	N	2	Reverse		128	Mizue			4/22/2019
128	Tauros	N	2			129	kodama			8/27/2019
249	Lugia	N	3	Reverse / Art		131	Anesaki Dynamic			7/5/2019
335	Zangoose	N	3	Reverse		132	Misa Tsutsui			12/20/2019
T	Brock's Grit	Su	2			135	Naoki Saito			10/14/2019
T	Buff Padding	I	2			136	Yoshinobu Saito			12/20/2019
T	Dangerous Drill	I	2			138	Toyste Beach			4/22/2019
T	Electrocharger	I	2			139	Eske Yoshinob			10/14/2019
T	Evelyn	Su	2			141	Megumi Mizutani			7/5/2019
T	Fairy Charm UB	I	2	Reverse		142	Toyste Beach			8/27/2019
T	Grass Memory	I	2			143	5ban Graphics			8/27/2019
T	Jasmine	I	2			145	Ken Sugimori			7/5/2019
T	Judge Whistle	I	2			146	Ayaka Yoshida			7/5/2019
T	Lavendar Town	S	2			147	5ban Graphics			4/22/2019
T	Metal Goggles	I	2			148	Yoshinobu Saito			5/12/2019
T	Nanu	Su	2			150	Ken Sugimori			
T	Nita	Su	2			151	Megumi Mizutani			8/27/2019
T	Pokemon Communication	I	2			152	Ayaka Yoshida			10/26/2019
T	Return Label	I	2			153	Toyste Beach			8/27/2019
T	Sabrina's Suggestion	Su	2			154	Hitoshi Ariga			6/15/2019
T	Unidentified Fossil	I	2	Reverse		155	Toyste Beach			10/14/2019
T	Viridian Forest	S	2	Reverse		156	5ban Graphics			7/5/2019
94 & 778	Gengar & Mimikyu GX	P	5	Full	Full Art / Rainbow / Textured / Team Up	186	5ban Graphics		$11.35	4/22/2019
