Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
148	Dragonair	N	2			32	Mitsuhiro Arita			7/20/2019
233	Porygon2	N	2			49	Kouki Saitou			
190	Aipom	N	1			55	Naoyo Kimura			
304	Aron	Sl	1			56	Kagemaru Himeno			
436	Bronzor	Sl	1	Reverse		58	Yuka Morii			
314	Illumise	G	1			64	Kent Kanetsuna	Bent		
401	Kricketot	G	1			65	Tomokazu Komiya			
29	Nidoran F	P	1			69	sui			
77	Ponyta	F	1			72	Kyoko Umemato			
137	Porygon	N	1			73	Kouki Saitou			
353	Shuppet	P	1			75	Ryo Ueda			
72	Tentacool	W	1			80	Sachiko Adachi			
48	Venonat	G	1			81	Hideaki Hakozaki	Tattered		
100	Voltorb	El	1			83	Masakazu Fukuda			
T	Indigo Plateau	S	2			86	Ryo Ueda	Tattered		
T	Seeker	Su	2			88	Wataru Kawahara	Yes		
T	Rescue Energy	N	2			90	Kent Kanetsuna	Yes		
483	Palkia Dialga Legends	W	3		Full Art / Japanese	072	Shinji Higuchi			
484	Palkia Dialga Legends	W	5	Full	Full Art	102	Norika		5.94	
