Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
387,Turtwig,G,1,,,7/156,,OOYAMA,,,5/11/2019,157624
420,Cherubi,G,1,,,10/156,,Asako Ito,,,6/15/2019,XXXXXX
126,Magmar,F,1,,,18/156,,Yumi,,,,157635
757,Salandit,F,1,,,25/156,,Misa Tsutsui,,,5/11/2019,157642
27,Alolan Sandshrew,W,1,,,28/156,,Shin Nagasawa,,,8/6/2019,XXXXXX
393,Piplup,W,1,,,31/156,,Ken Sugimori,,,8/6/2019,XXXXXX
394,Prinplup,W,2,,,33/156,,Mizue,,,8/6/2019,XXXXXX
395,Empoleon,W,3,Reverse,,34/156,,nagimiso,,,8/6/2019,XXXXXX
418,Buizel,W,1,,,35/156,,so-taro,,,8/6/2019,XXXXXX
419,Floatzel,W,2,,,36/156,,Naoyo Kimura,,,8/6/2019,XXXXXX
459,Snover,W,1,,,37/156,,match,,,8/6/2019,XXXXXX
460,Abomasnow,W,3,,,38/156,,Masakazu Fukuda,,,6/15/2019,XXXXXX
490,Manaphy,W,2,,,42/156,,kawayoo,,,8/6/2019,XXXXXX
403,Shinx,El,1,,,45/156,,Shibuzoh.,,,7/20/2019,XXXXXX
403,Shinx,El,1,,,46/156,,Ken Sugimori,,,7/20/2019,XXXXXX
442,Spiritomb,P,2,,,53/156,,Shin Nagasawa,,,7/20/2019,XXXXXX
453,Croagunk,P,1,,,56/156,,SATOSHI NAKAI,,,5/11/2019,157673
789,Cosmog,P,1,,,60/156,,Shin Nagasawa,,,7/20/2019,XXXXXX
408,Cranidos,Fg,2,,,64/156,,Kouki Saitou,,,5/11/2019,157681
447,Riolu,Fg,1,,,66/156,,Kyoko Umemoto,,,5/11/2019,157683
449,Hippopotas,Fg,1,,,68/156,,Yumi,,,6/15/2019,XXXXXX
766,Passimian,Fg,1,,,70/156,,kawayoo,,,6/15/2019,XXXXXX
198,Murkrow,D,1,Full,,71/156,,match,,,5/11/2019,157688
434,Stunky,D,1,,,75/156,,Naoyo Kimura,,,7/20/2019,XXXXXX
81,Magnemite,Sl,1,,,80/156,,MAHOU,,,6/15/2019,XXXXXX
410,Shieldon,Sl,2,,,84/156,,so-taro,,,6/15/2019,XXXXXX
485,Heatran,Sl,3,Art,,88/156,,tetsuya koizumi,,,,157705
755,Morelull,Fa,1,,,92/156,,Midori Harada,,,7/20/2019,XXXXXX
108,Lickitung,N,1,,,102/156,,Mizue,,,,157719
133,Eevee,N,1,,,104/156,,Atsuko Nishida,,,7/20/2019,XXXXXX
133,Eevee,N,1,,,105/156,,Hideki Ishikawa,,,5/11/2019,157722
427,Buneary,N,1,,,106/156,,Kagemaru Himeno,,,6/15/2019,XXXXXX
479,Fan Rotom,N,3,Full,,110/156,,Masakazu Fukuda,,,6/15/2019,XXXXXX
765,Oranguru,N,2,,,114/156,,Kouki Saitoi,,,5/11/2019,157731
772,Type: Null,N,3,,,115/156,,match,,,5/11/2019,157732
T,Escape Board,I,2,,,122/156,,Toyste Beach,,,8/6/2019,XXXXXX
T,Lillie,Su,2,,,125/156,,Sanosuke Sakuma,,,,157742
T,Looker,Su,2,,,126/156,,Ken Sugimori,,,6/15/2019,XXXXXX
T,Missing Clover,I,2,,,129/156,,Toyste Beach,,,5/11/2019,157747
T,Order Pad,I,2,,,131/156,,Eske Yoshinob,,,6/15/2019,XXXXXX
T,Pokemon Fan Club,Su,2,,,133/156,,Sanosuke Sakuma,,,,157749
