Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
10	Caterpie	G	1	Reverse		2	Shibuzoh			9/28/2019
11	Metapod	G	2			3	Shigenori Negishi			5/15/2019
43	Oddish	G	1			5	0313			5/11/2019
44	Gloom	G	2			7	Anesaki Dynamic			8/30/2019
49	Venomoth	G	3			11	Mina Nakai			7/27/2019
69	Bellsprout	G	1			13	Ken Sugimori			8/30/2019
70	Weepinbell	G	2			14	otunami			8/30/2019
736	Grubbin	G	1			18	Yuka Morii			5/15/2019
58	Growlithe	F	1			21	tetsuya koizumi			7/27/2019
725	Litten	F	1			26	0313			5/15/2019
725	Litten	F	1			27	Atsuko Nishida			8/30/2019
727	Incineroar	F	3			29	Misa Tsutsui			7/27/2019
757	Salandit	F	1			30	Yusuke Ohmura			5/11/2019
758	Salazzle	F	3			31	hatachu			12/28/2019
7	Squirtle	W	1			33	tetsuya koizumi			7/27/2019
8	Wartortle	W	2			34	Hiroki Asanuma			8/30/2019
60	Poliwag	W	1			36	Midori Harada			9/28/2019
61	Poliwhirl	W	2			38	Yukiko Baba			8/30/2019
72	Tentacool	W	1			40	Shin Nagasawa			7/27/2019
79	Slowpoke	W	1	Reverse		42	Kouki Saitou			8/30/2019
80	Slowbro	W	3	Art		43	Ken Sugimori			8/30/2019
86	Seel	W	1			44	Sumiyoshi Kizuki			8/30/2019
87	Dewgong	W	3			45	Kagemaru Himeno			8/30/2019
98	Krabby	W	1	Reverse		46	Sekio			5/15/2019
99	Kingler	W	3			47	Shigenori Negishi			5/15/2019
118	Goldeen	W	1			48	Naoyo Kimura			12/28/2019
656	Froakie	W	1	Reverse		51	Kyoko Umemoto			7/27/2019
771	Pyukumuku	W	2			53	Asako Ite			5/11/2019
25	Pikachu	El	1	Reverse		54	nagimiso			8/30/2019
738	Vikavolt	El	3	Reverse		59	Hasuno			8/6/2019
23	Ekans	P	1			62	Yumi			8/30/2019
92	Gastly	P	1			68	MAHOU			7/26/2019
93	Haunter	P	2			69	Miki Tanaka			7/20/2019
96	Drowzee	P	1			71	Miki Tanaka			9/28/2019
151	Mew	P	3	Art		76	sui			8/30/2019
200	Misdreavus	P	1			77	Miki Tanaka			5/11/2019
429	Mismagius	P	3			78	sui			9/28/2019
677	Espurr	P	1			79	HYOGONOSUKE			12/28/2019
678	Meowstic	P	3			80	Saya Tsuruta			9/28/2019
27	Sandshrew	Fg	1			83	Sekio			5/11/2019
28	Sanslash	Fg	3	Reverse		84	Shigenori Negishi			8/30/2019
50	Diglett	Fg	1			85	Kouki Saitou			9/28/2019
74	Geodude	Fg	1			87	Sumiyoshi Kizuki			5/15/2019
75	Graveler	Fg	2			88	Ayaka Yoshida			7/27/2019
104	Cubone	Fg	1			90	Mizue			9/28/2019
111	Rhyhorn	Fg	1			92	sowsow			12/28/2019
111	Rhyhorn	Fg	1			93	otumami			5/15/2019
112	Rhydon	Fg	2	Reverse		94	kirisAki			8/30/2019
194	Wooper	Fg	1	Reverse		96	tetsuya koizumi			5/15/2019
207	Gligar	Fg	1			98	Ken Sugimori			7/26/2019
472	Gliscor	Fg	2			99	Mizue			9/28/2019
236	Tyrogue	Fg	2			100	Mia Nokai			7/26/2019
237	Hitmontop	Fg	2			101	Tomokazu Komiya			8/30/2019
447	Riolu	Fg	1	Reverse		102	Mizue			8/30/2019
739	Crabrawler	Fg	1	Reverse		104	Akira Komayama			5/11/2019
198	Murkrow	D	1			108	0313			5/11/2019
318	Carvanha	D	1			110	SATOSHI NAKAI			8/30/2019
551	Sandile	D	1			114	Akira Komayama			5/15/2019
686	Inkay	D	1	Reverse		118	Naoyo Kimura			8/30/2019
687	Malamar	D	3	Art		119	Yusuke Ohmura			9/28/2019
448 & 809	Lucario & Melmetal GX	Sl	5	Full	Full Art / Team Up	120	Mitsuhiro Arita			8/30/2019
304	Aron	Sl	1	Reverse		123	Ken Sugimori			8/30/2019
305	Lairon	Sl	2			124	Suwama Chiaki			8/30/2019
306	Aggron	Sl	3			125	Satoshi Shirai			8/30/2019
448	Lucario	Sl	3	Art		126	Midori Harada			5/15/2019
808	Meltan	Sl	1			128	Kouki Saitou			5/15/2019
172	Cleffa	Fa	1			131	Shibuzoh.			7/27/2019
35	Clefairy	Fa	1			132	0313			8/30/2019
175	Togepi	Fa	1			136	Sekio			7/27/2019
176	Togetic	Fa	2			137	sui			8/30/2019
546	Cottonee	Fa	1			139	Ken Sugimori			8/30/2019
682	Spritzee	Fa	1			141	MAHOU			7/26/2019
19	Rattate	N	1			143	Eri Yamaki			12/28/2019
20	Raticate	N	2			144	Shigenori Negishi			8/30/2019
21	Spearow	N	1			145	tetsuya koizumi			8/6/2019
