Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
205	Forretress	Sl	3	Reverse		3	Kyoko Umemoto			
85	Dodrio	N	3			11	Yukiko Baba			
479	Rotom	El	3			20	MAHOU			
227	Skarmory	Sl	3			21	Midori Harada			
44	Gloom	G	2			27	Mitsuhiro Arita	Dirty		
375	Metang	Sl	2	Reverse		30	TOKIYA			
20	Raticate	N	2			34	Sachiko Adachi			
435	Skuntank	D	2			37	Naoyo Kimura			
201	Unown	P	2	Reverse		40	Hideaki Hakozaki			
304	Aron	Sl	1			42	match			
374	Beldum	Sl	1			43	TOKIYA			
415	Combee	G	1			44	Naoyo Kimura			
84	Doduo	N	1			45	Yukiko Baba			
88	Grimer	P	1			50	Midori Harada			
107	Hitmonchan	Fg	1			51	Kouki Saitou			
228	Houndour	D	1			53	kawayoo			
228	Houndour	D	1			54	Kagemaru Himeno			
303	Mawile	Sl	1			56	TOKIYA			
200	Misdreavus	P	1			57	Suwama Chiaki			
198	Murkrow	D	1			58	kawayoo			
43	Oddish	G	1			60	Mitsuhiro Arita			
204	Pineco	G	1			62	Kagemaru Himeno			7/20/2019
204	Pineco	G	1			63	Kyoko Umemoto			
19	Rattata	N	1			64	Sachiko Adachi			
79	Slowpoke	W	1			66	Kagemaru Himeno	Dirty		
218	Slugma	F	1			67	Yuka Morii			
434	Stunky	D	1			69	Naoyo Kimura			
T	Burned Tower	S	2			71	Ryo Ueda			
T	Defender	T	2			72	Ryo Ueda			
T	Energy Exchanger	T	2			73	Ryo Ueda			
T	Legend Box	T	2			75	Shizurow			
T	Ruins of Alph	S	2	Reverse		76	Ryo Ueda			
T	Sage's Training	Su	2			77	Masakazu Fukuda			
T	Team Rocket's Trickery	Su	2			78	Takao Unno	Tattered		
T	Darkness Energy	D	2			79	Kent Kanetsuna			
T	Metal Energy	Sl	2	Reverse		80	Kent Kanetsuna			
