Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
103 & 722,Alolan Exeggutor & Rowlet GX,G,5,Full,Full Art / Team Up,1/236,,Mitsuhiro Arita,,,12/20/2019
193,Yanma,G,1,,,2/236,,Eri Yamaki,,,9/19/2019
469,Yanmega,G,2,,,3/236,,Hitoshi Ariga,,,8/2/2019
251,Celebi,G,2,Art,,4/236,,Megumi Mizutani,,,10/12/2019
285,Shroomish,G,1,,,5/236,,Ken Sugimori,,,10/14/2019
540,Sewaddle,G,1,,,6/236,,Naoyo Kimura,,,8/2/2019
540,Sewaddle,G,1,,,7/236,,Shigenori Negishi,,,8/2/2019
541,Swadloon,G,2,Reverse,,8/236,,Shibuzoh.,,,12/20/2019
557,Dwebble,G,1,,,10/236,,kawayoo,,,8/10/2019
588,Karrablast,G,1,,,12/236,,Ken Sugimori,,,8/2/2019
590,Foongus,G,1,,,13/236,,Ken Sugimori,,,10/14/2019
591,Amoonguss,G,3,,,14/236,,Midori Harada,,,8/2/2019
753,Fomantis,G,1,,,15/236,,Yuka Morii,,,8/2/2019
754,Lurantis,G,2,Reverse,,16/236,,AKIRA EGAWA,,,8/2/2019
761,Bounsweet,G,1,Reverse,,17/236,,Mizue,,,10/14/2019
762,Steenee,G,2,Reverse,,18/236,,Kagemaru Himeno,,,8/2/2019
781,Dhelmise,G,2,,,20/236,,TOKIYA,,,8/2/2019
126,Magmar,F,1,,,21/236,,Hiroki Asanuma,,,8/2/2019
322,Numel,F,1,,,23/236,,Motofumi Fujiwara,,,8/10/2019
323,Camerupt,F,3,Reverse,,24/236,,Masakazu Fukuda,,,10/14/2019
607,Litwick,F,1,,,27/236,,MAHOU,,,8/25/2019
607,Litwick,F,1,,,28/236,,sowsow,,,8/2/2019
608,Lampent,F,2,,,29/236,,Sachiko Adachi,,,8/2/2019
662,Fletchinder,F,1,Reverse,,31/236,,Mina Nakai,,,10/14/2019
663,Talonflame,F,3,,,32/236,,SATOSHI NAKAI,,,8/10/2019
757,Salandit,F,1,,,33/236,,Kyoko Umemoto,,,8/2/2019
758,Salazzle,F,3,,,34/236,,Midori Harada,,,12/20/2019
79 & 54,Slowpoke & Psyduck GX,W,5,Full,Full Art / Team Up,35/236,,Mitsuhiro Arita,,,10/14/2019
131,Lapras,W,2,,,36/236,,Kagemaru Himeno,,,10/14/2019
361,Snorunt,W,1,,,37/236,,Naoyo Kimura,,,8/10/2019
456,Finneon,W,1,,,39/236,,sui,,,8/2/2019
457,Lumineon,W,2,,,40/236,,Sekio,,,8/10/2019
459,Snover,W,1,,,41/236,,otumami,,,10/14/2019
