Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
14,Kakuna,G,2,,,4/146,,Kouki Saitou,,,,86417
15,Beedrill,G,3,,,5/146,,Shin Nagasawa,,,,83774
650,Chespin,G,1,,,12/146,,5ban Graphics,,,,84269
651,Quilladin,G,2,,,13/146,,5ban Graphics,,,,88489
652,Chesnaught,G,3,Art,,14/146,,5ban Graphics,,,,84267
665,Spewpa,G,2,,,16/146,,5ban Graphics,,,,89444
672,Skiddo,G,1,,,18/146,,5ban Graphics,,,,89251
673,Gogoat,G,3,Reverse,,19/146,,5ban Graphics,,,,85789
513,Pansear,F,1,,,22/146,,Tomakazu Komiya,,,,87945
653,Fennekin,F,1,,,24/146,,5ban Graphics,,,,85409
655,Delphox,F,3,Art,,26/146,,5ban Graphics,,,,84752
9,Blastoise EX,W,5,Art,Full Art,29/146,,Eske Yoshinob,,,9/7/2019,XXXXXX
9,M Blastoise EX,W,5,Full,Full Art,30/146,,5ban Graphics,,,,86954
91,Cloyster,W,3,,,32/146,,Masakazu Fukada,,,,84375
120,Staryu,W,1,,,33/146,,Sumiyoshi Kizuki,,,,89554
515,Panpour,W,1,,,37/146,,Kyoko Umemoto,,,,87930
657,Frogadier,W,2,,,40/146,,5ban Graphics,,,,85570
658,Greninja,W,3,Art,,41/146,,5ban Graphics,,,,85901
26,Raichu,El,3,Reverse,,43/146,,Mitsuhiro Arita,,,,88549
101,Electrode,El,2,,,45/146,,Shigenori Negishi,,,,85104
325,Spoink,P,1,,,49/146,,Atsuko Nishida,,,,89480
326,Grumpig,P,3,Reverse,,50/146,,sui,,,,85973
543,Venipede,P,1,,,51/146,,sui,,,,90297
544,Whirlipede,P,2,,,52/146,,Kagemaru Himeno,,,,90573
50,Diglett,Fg,1,,,58/146,,Kanako Eo,,,,84827
111,Rhyhorn,Fg,1,,,60/146,,MAHOU,,,,88744
553,Krookodile,D,3,,,71/146,,match,,,,86540
570,Zorua,D,1,,,72/146,,Toyste Beach,,,,90764
686,Inkay,D,2,,,74/146,,5ban Graphics,,,,86283
686,Inkay,D,1,Reverse,,75/146,,5ban Graphics,,,,86284
717,Yveltal,D,5,Full,Full Art,79/146,,5ban Graphics,,,,90697
624,Pawniard,Sl,1,,,81/146,,Midori Harada,,,,87972
679,Honedge,Sl,1,,,83/146,,5ban Graphics,,,,86166
680,Doublade,Sl,2,Reverse,,84/146,,5ban Graphics,,,,84881
681,Aegislash,Sl,3,Art,,86/146,,5ban Graphics,,,,83462
39,Jigglypuff,Fa,1,,,87/146,,Kanako Eo,,,,86322
684,Swirlix,Fa,1,,,94/146,,5ban Graphics,,,,89707
84,Doduo,N,1,,,98/146,,Sumiyoshi Kizuki,,,,84867
85,Dodrio,N,2,,,99/146,,Kanako Eo,,,,84856
276,Tailow,N,1,,,102/146,,sui,,,,89737
277,Swellow,N,3,,,103/146,,Mizue,,,,89695
300,Skitty,N,1,,,104/146,,kawayoo,,,,89271
399,Bidoof,N,1,,,106/146,,Kagemaru Himeno,,,,83830
400,Bibarel,N,3,,,107/146,,Kyoko Umemoto,,,,83822
506,Lillipup,N,1,,,108/146,,match,,,,86802
508,Stoutland,N,3,Reverse,,110/146,,Kouki Saitou,,,,89573
661,Fletchling,N,1,Reverse,,113/146,,5ban Graphics,,,,85506
T,Fairy Garden,S,2,,,117/146,,Ryo Ueda,,,,85379
T,Cassius,Su,2,,,115/146,,Masakazu Fukada,,,,84124
T,Professor Sycamore,Su,2,,,122/146,,Yusuke Ohmura,,,,88409
T,Professor's Letter,I,2,Full,,123/146,,5ban Graphics,,,,88410
T,Team Flare Grunt,Su,2,,,129/146,,Yusuke Ohmura,,,,89804
