Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
13,Weedle,G,1,,,3/181,,SATOSHI NAKAI,,,4/22/2019
46,Paras,G,1,,,6/181,,Naoyo Kimura,,,4/22/2019
47,Parasect,G,3,,,7/181,,Satoshi Shirai,,,4/22/2019
102,Exeggcute,G,1,,,8/181,,Ken Sugimori,,,4/22/2019
5,Charmeleon,F,2,,,13/181,,Ayaka Yoshida,,,4/22/2019
37,Vulpix,F,1,,,15/181,,Ken Sugimori,,,5/12/2019
725,Litten,F,1,,,20/181,,sui,,,5/12/2019
55,Golduck,W,2,,,27/181,,Masakazu Fukuda,,,5/12/2019
74,Alolan Geodude,El,1,,,34/181,,Yukiko Baba,,,
75,Alolan Graveler,El,2,Full,,36/181,,Misa Tsutsui,,,4/22/2019
179,Mareep,El,1,,,41/181,,Akira Komayama,,,5/12/2019
180,Flaaffy,El,2,Full,,42/181,,Shibuzoh.,,,
522,Blitzle,El,1,,,44/181,,Akira Komayama,,,4/22/2019
587.Emolga,El,1,,,46/181,,Megumi Mizutani,,,5/12/2019
595,Joltik,El,1,,,47/181,,Yuka Morii,,,4/22/2019
694,Helioptile,El,1,,,49/181,,Ken Sugimori,,,4/22/2019
33,Nidorino,P,2,,,58/181,,Kouki Saitou,,,4/22/2019
56,Mankey,Fg,1,,,71/181,,Akira Komayama,,,
106,Hitmonlee,Fg,2,,,73/181,,Tomokazu Komiya,,,
674,Pancham,Fg,1,,,81/181,,Yuka Morii,,,
261,Poochyena,D,1,,,86/181,,Ken Sugimori,,,4/22/2019
629,Vullaby,D,1,,,92/181,,Eri Yamaki,,,4/22/2019
597,Ferroseed,Sl,1,,,102/181,,Shigenori Negishi,,,
624,Pawniard,Sl,1,,,104/181,,Masakazu Fukuda,,,
680,Doublade,Sl,2,,,108/181,,Shin Nagasawa,,,
38,Ninetales,Fa,3,Reverse,,111/181,,Misa Tsuitsui,,,
778,Mimikyu,Fa,3,,,112/181,,Eri Yamaki,,,5/12/2019
147,Dratini,Dr,1,Full,,117/181,,Kouki Saitou,,,5/12/2019
115,Kangaskhan,N,2,Full,,128/181,,Mizue,,,4/22/2019
T,Dangerous Drill,I,2,,,138/181,,Toyste Beach,,,4/22/2019
T,Fairy Charm UB,I,2,,,142/181,,Toyste Beach,,,4/22/2019
T,Lavendar Town,S,2,,,147/181,,5ban Graphics,,,4/22/2019
T,Metal Goggles,I,2,,,148/181,,Yoshinobu Saito,,,5/12/2019
T,Nanu,Su,2,,,150/181,,Ken Sugimori,,,
T,Unidentified Fossil,I,2,,,155/181,,Toyste Beach,,,4/22/2019
94 & 778,Gengar & Mimikyu GX,P,5,Full,Full Art / Rainbow / Ridged,186/181,,5ban Graphics,,$11.35,4/22/2019
