Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
233,Porygon2,N,2,,,49/102,,Kouki Saitou,,,
190,Aipom,N,1,,,55/102,,Naoyo Kimura,,,
304,Aron,Sl,1,,,56/102,,Kagemaru Himeno,,,
436,Bronzor,Sl,1,Reverse,,58/102,,Yuka Morii,,,
314,Illumise,G,1,,,64/102,,Kent Kanetsuna,,,
401,Kircketot,G,1,,,65/102,,Tomokazu Komiya,,,
29,Nidoran F,P,1,,,69/102,,sui,,,
77,Ponyta,F,1,,,72/102,,Kyoko Umemato,,,
137,Porygon,N,1,,,73/102,,Kouki Saitou,,,
353,Shuppet,P,1,,,75/102,,Ryo Ueda,,,
72,Tentacool,W,1,,,80/102,,Sachiko Adachi,,,
48,Venonant,G,1,,,81/102,,Hideaki Hakozaki,,,
100,Voltorb,El,1,,,83/102,,Masakazu Fukuda,,,
T,Indigo Plateau,S,2,,,86/102,,Ryo Ueda,Tattered,,
T,Seeker,Su,2,,,88/102,,Wataru Kawahara,Yes,,
T,Rescue Energy,E,2,,,90/102,,Kent Kanetsuna,Yes,,
483,Palkia Dialga Legends,W,3,,Full Art / Japanese,072/080,,Shinji Higuchi,,,
484,Palkia Dialga Legends,W,5,Full,Full Art,102/102,,Norika,,5.94,
