Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
419,Floatzel,W,3,,,16/95,,Masakazu Fukuda,,,,85515
247,Pupitar,Fg,2,Reverse,,38/95,,Sumiyoshi Kizuki,,,,88454
418,Buizel,W,1,,,45/95,,Masakazu Fukuda,,,,84022
455,Carnivine,G,1,,,46/95,,Wataru Kawahara,,,,84104
420,Cherubi,G,1,,,47/95,,match,,,,84264
246,Larvitar,Fg,1,,,50/95,,Sumiyoshi Kizuki,,,,86644
56,Mankey,Fg,1,,,53/95,,Sachiko Adachi,,,,87176
177,Natu,P,1,,,55/95,,sui,,,,87687
447,Riolu,Fg,1,,,60/95,,Kouki Saitou,,,,88757
315,Roselia,G,1,,,61/95,,Takashi Yamaguchi,,,,88823
216,Teddiursa,N,1,,,65/95,,Kouki Saito,,,,89859
T,Cheerleader's Cheer,Su,2,,,71/95,,Kouki Saitou,,,,84246
T,Emcee's Chatter,Su,2,,,73/95,,Kouki Saitou,,,,85187
T,PlusPower,T,2,,,80/95,,Takashi Yamaguchi,,,,88179
T,Super Scoop Up,T,2,,,83/95,,Wataru Kawahara,,,,89640
