Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
14,Kakuna,,2,,,4/146,,Kouki Saitou,,
15,Beedrill,,3,,,5/146,,Shin Nagasawa,,
650,Chespin,,1,,,12/146,,5ban Graphics,,
651,Quilladin,,2,,,13/146,,5ban Graphics,,
652,Chesnaught,,3,Art,,14/146,,5ban Graphics,,
665,Spewpa,,2,,,16/146,,5ban Graphics,,
672,Skiddo,,1,,,18/146,,5ban Graphics,,
673,Gogoat,,3,Reverse,,19/146,,5ban Graphics,,
513,Pansear,,1,,,22/146,,Tomakazu Komiya,,
653,Fennekin,,1,,,24/146,,5ban Graphics,,
655,Delphox,,3,Art,,26/146,,5ban Graphics,,
9,Mega Blastoise EX,,5,Full,Full Art,30/146,,5ban Graphics,,
91,Cloyster,,3,,,32/146,,Masakazu Fukada,,
120,Staryu,,1,,,33/146,,Sumiyoshi Kizuki,,
515,Panpour,,1,,,37/146,,Kyoko Umemoto,,
657,Frogadier,,2,,,40/146,,5ban Graphics,,
658,Greninja,,3,Art,,41/146,,5ban Graphics,,
26,Raichu,,3,Reverse,,43/146,,Mitsuhiro Arita,,
101,Electrode,,2,,,45/146,,Shigenori Negishi,,
325,Spoink,,1,,,49/146,,Atsuko Nishida,,
326,Grumpig,,3,Reverse,,50/146,,sui,,
543,Venipede,,1,,,51/146,,sui,,
544,Whirlipede,,2,,,52/146,,Kagemaru Himeno,,
50,Diglett,,1,,,58/146,,Kanako Eo,,
111,Rhyhorn,,1,,,60/146,,MAHOU,,
553,Krookodile,,3,,,71/146,,match,,
570,Zorua,,1,,,72/146,,Toyste Beach,,
686,Inkay,,2,,,74/146,,5ban Graphics,,
686,Inkay,,1,Reverse,,75/146,,5ban Graphics,,
717,Yveltal,,5,Full,Full Art,79/146,,5ban Graphics,,
624,Pawniard,,1,,,81/146,,Midori Harada,,
679,Honedge,,1,,,83/146,,5ban Graphics,,
680,Doublade,,2,Reverse,,84/146,,5ban Graphics,,
681,Aegislash,,3,Art,,86/146,,5ban Graphics,,
39,Jigglypuff,,1,,,87/146,,Kanako Eo,,
684,Swirlix,,1,,,94/146,,5ban Graphics,,
84,Doduo,,1,,,98/146,,Sumiyoshi Kizuki,,
85,Dodrio,,2,,,99/146,,Kanako Eo,,
276,Tailow,,1,,,102/146,,sui,,
277,Swellow,,3,,,103/146,,Mizue,,
300,Skitty,,1,,,104/146,,kawayoo,,
399,Bidoof,,1,,,106/146,,Kagemaru Himeno,,
400,Bibarel,,3,,,107/146,,Kyoko Umemoto,,
506,Lillipup,,1,,,108/146,,match,,
508,Stoutland,,3,Reverse,,110/146,,Kouki Saitou,,
661,Fletchling,,1,Reverse,,113/146,,5ban Graphics,,
T,Fairy Garden,S,2,,,117/146,,Ryo Ueda,,
T,Cassius,Su,2,,,115/146,,Masakazu Fukada,,
T,Professor Sycamore,Su,2,,,122/146,,Yusuke Ohmura,,
T,Professor's Letter,I,2,Full,,123/146,,5ban Graphics,,
T,Team Flare Grunt,Su,2,,,129/146,,Yusuke Ohmura,,
